Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Hotel One Abbottabad,Abbottabad,5.2 km from downtown,[],8.5,"PKR 10,800",https://cf.bstatic.com/xdata/images/hotel/square240/239879868.webp?k=43d218009bbb1326f2d37e5a8d8a982c07b250e7c037affebb5959131f5260f9&o=,https://www.booking.com/hotel/pk/one-abbottabad.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hYmJvdHRhYmFkSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCptrixQbAAgHSAiQzMmRkNDNlYy03OGI5LTQwZGMtOGYxMC04NjAwNDYwNjk1NzjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=dc579413382e06ed&srepoch=1756933435&all_sr_blocks=176096904_413713814_0_1_0&highlighted_blocks=176096904_413713814_0_1_0&matching_block_id=176096904_413713814_0_1_0&sr_pri_blocks=176096904_413713814_0_1_0__1080000&from=searchresults
HCC Abbottabad,Abbottabad,250 m from downtown,[],8.8,"PKR 8,500",https://cf.bstatic.com/xdata/images/hotel/square240/569145820.webp?k=88877cdaed8edbc8b2f5c3aeb1a94b7b3ef980f133192ac1df81c6b4a3150b21&o=,https://www.booking.com/hotel/pk/hcc-abbottabad.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hYmJvdHRhYmFkSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCptrixQbAAgHSAiQzMmRkNDNlYy03OGI5LTQwZGMtOGYxMC04NjAwNDYwNjk1NzjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=dc579413382e06ed&srepoch=1756933435&all_sr_blocks=1210587402_393231360_3_1_0&highlighted_blocks=1210587402_393231360_3_1_0&matching_block_id=1210587402_393231360_3_1_0&sr_pri_blocks=1210587402_393231360_3_1_0__850000&from=searchresults
Stargaze Hotel & Apartment,Abbottabad,1.8 km from downtown,[],7.7,"PKR 3,500",https://cf.bstatic.com/xdata/images/hotel/square240/92437560.webp?k=a70b22864b01087f6527a96e9c916257989afe8e26b6b1af0f33420bdf7285c1&o=,https://www.booking.com/hotel/pk/stargaze-amp-apartment.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hYmJvdHRhYmFkSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCptrixQbAAgHSAiQzMmRkNDNlYy03OGI5LTQwZGMtOGYxMC04NjAwNDYwNjk1NzjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=dc579413382e06ed&srepoch=1756933435&all_sr_blocks=192430121_224257344_0_0_0&highlighted_blocks=192430121_224257344_0_0_0&matching_block_id=192430121_224257344_0_0_0&sr_pri_blocks=192430121_224257344_0_0_0__350000&from=searchresults
Republika Urban Hotel by Summit Resorts,Abbottabad,3.6 km from downtown,[],8.3,"PKR 4,647",https://cf.bstatic.com/xdata/images/hotel/square240/458173950.webp?k=ef70afeaff0337781630c4eb3611769488cbbc333e14194af26be7f22b0b8f1c&o=,https://www.booking.com/hotel/pk/republika-by-summit-resorts.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hYmJvdHRhYmFkSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCptrixQbAAgHSAiQzMmRkNDNlYy03OGI5LTQwZGMtOGYxMC04NjAwNDYwNjk1NzjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=dc579413382e06ed&srepoch=1756933435&all_sr_blocks=950585001_367692689_2_2_0&highlighted_blocks=950585001_367692689_2_2_0&matching_block_id=950585001_367692689_2_2_0&sr_pri_blocks=950585001_367692689_2_2_0__464694&from=searchresults
Republika Central Hotel & Resort,Abbottabad,10.7 km from downtown,[],8.1,"PKR 6,694",https://cf.bstatic.com/xdata/images/hotel/square240/690475125.webp?k=2881c5bbb5ea2c76fb0a215c6fec05565802ffbe513feb9221ca1cf9c10b6023&o=,https://www.booking.com/hotel/pk/summit-resorts-republika-central.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hYmJvdHRhYmFkSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCptrixQbAAgHSAiQzMmRkNDNlYy03OGI5LTQwZGMtOGYxMC04NjAwNDYwNjk1NzjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=dc579413382e06ed&srepoch=1756933435&all_sr_blocks=989664502_372911295_3_1_0&highlighted_blocks=989664502_372911295_3_1_0&matching_block_id=989664502_372911295_3_1_0&sr_pri_blocks=989664502_372911295_3_1_0__669397&from=searchresults
Alaf Laila Guest House,Abbottabad,2.4 km from downtown,[],7.6,"PKR 7,000",https://cf.bstatic.com/xdata/images/hotel/square240/91898455.webp?k=fc61e12b990512deddc5a9895a53e6016b5192289c5d43f239df4ec0782d6964&o=,https://www.booking.com/hotel/pk/alaf-laila-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hYmJvdHRhYmFkSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCptrixQbAAgHSAiQzMmRkNDNlYy03OGI5LTQwZGMtOGYxMC04NjAwNDYwNjk1NzjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=dc579413382e06ed&srepoch=1756933435&all_sr_blocks=219579001_206339151_2_0_0&highlighted_blocks=219579001_206339151_2_0_0&matching_block_id=219579001_206339151_2_0_0&sr_pri_blocks=219579001_206339151_2_0_0__700000&from=searchresults
Hotel Red Roof & Restaurant,Abbottabad,7.2 km from downtown,[],7.8,"PKR 3,009",https://cf.bstatic.com/xdata/images/hotel/square240/478437588.webp?k=f67a09d55e07bc2599476447daa755407924cfeb9795f76618616137485caed4&o=,https://www.booking.com/hotel/pk/red-roof-amp-restaurant.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hYmJvdHRhYmFkSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCptrixQbAAgHSAiQzMmRkNDNlYy03OGI5LTQwZGMtOGYxMC04NjAwNDYwNjk1NzjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=dc579413382e06ed&srepoch=1756933435&all_sr_blocks=1039023517_376378248_2_0_0&highlighted_blocks=1039023517_376378248_2_0_0&matching_block_id=1039023517_376378248_2_0_0&sr_pri_blocks=1039023517_376378248_2_0_0__300900&from=searchresults
Sarai Abbottabad,Abbottabad,3 km from downtown,"['Entire apartment', '1 bedroom', '1 bathroom', '21 m²']",8.9,"PKR 3,705",https://cf.bstatic.com/xdata/images/hotel/square240/732212106.webp?k=c2c1c8536efe38e30967edc216faf1e8e85a666fc20a46896976c2697ba6cac7&o=,https://www.booking.com/hotel/pk/sarai-abbottabad.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hYmJvdHRhYmFkSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCptrixQbAAgHSAiQzMmRkNDNlYy03OGI5LTQwZGMtOGYxMC04NjAwNDYwNjk1NzjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=dc579413382e06ed&srepoch=1756933435&all_sr_blocks=1445022102_415912797_0_0_0&highlighted_blocks=1445022102_415912797_0_0_0&matching_block_id=1445022102_415912797_0_0_0&sr_pri_blocks=1445022102_415912797_0_0_0__370500&from=searchresults
One Bedroom Cabin Dunga Near Pipeline Track,Abbottabad,21.1 km from downtown,"['Entire apartment', '1 bedroom', '1 bathroom', '46 m²']",10,"PKR 18,360",https://cf.bstatic.com/xdata/images/hotel/square240/731749820.webp?k=4d29e043f1df609f0a8045df7d3a2aeb91b8310bf1a1c67ace136d742f3b8868&o=,https://www.booking.com/hotel/pk/one-bedroom-cabin-dunga-near-pipeline-track.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hYmJvdHRhYmFkSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCptrixQbAAgHSAiQzMmRkNDNlYy03OGI5LTQwZGMtOGYxMC04NjAwNDYwNjk1NzjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=dc579413382e06ed&srepoch=1756933435&all_sr_blocks=1476387501_419086216_2_0_0&highlighted_blocks=1476387501_419086216_2_0_0&matching_block_id=1476387501_419086216_2_0_0&sr_pri_blocks=1476387501_419086216_2_0_0__1836000&from=searchresults
Silent Hillside Stay 4 Families,Abbottabad,2.4 km from downtown,[],N/A,"PKR 7,225",https://cf.bstatic.com/xdata/images/hotel/square240/732132504.webp?k=5d20a5679574e27729e7fa86d738386a80f2c8931a1450d4332eb215859d7995&o=,https://www.booking.com/hotel/pk/silent-hillside-stay-4-families.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hYmJvdHRhYmFkSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCptrixQbAAgHSAiQzMmRkNDNlYy03OGI5LTQwZGMtOGYxMC04NjAwNDYwNjk1NzjYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=dc579413382e06ed&srepoch=1756933435&all_sr_blocks=1477118402_419155899_2_0_0&highlighted_blocks=1477118402_419155899_2_0_0&matching_block_id=1477118402_419155899_2_0_0&sr_pri_blocks=1477118402_419155899_2_0_0__722500&from=searchresults
