Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Hotel Al Azeem,Ayubia,30 m from downtown,[],9.2,"PKR 8,100",https://cf.bstatic.com/xdata/images/hotel/square240/376860047.webp?k=f75f430d57bde9be21808e218f17591d1f1e4df56404b4322ac79fa60fce10fd&o=,https://www.booking.com/hotel/pk/alazeem.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9heXViaWFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL82OLFBsACAdICJDc5NDkyYmI3LTdjMTMtNDRkYS04MDYxLTI4YjkxMWM2ZDRjY9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e52593be07c50653&srepoch=1756933262&all_sr_blocks=127252702_94014989_2_1_0&highlighted_blocks=127252702_94014989_2_1_0&matching_block_id=127252702_94014989_2_1_0&sr_pri_blocks=127252702_94014989_2_1_0__810000&from=searchresults
Red Onion Ayubia,Ayubia,250 m from downtown,[],N/A,"PKR 15,500",https://cf.bstatic.com/xdata/images/hotel/square240/723819721.webp?k=935f2c92396e79cdd4f0311f91f69112038eab3ce395af99bb269ffadd73a90d&o=,https://www.booking.com/hotel/pk/red-onion-ayubia.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9heXViaWFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL82OLFBsACAdICJDc5NDkyYmI3LTdjMTMtNDRkYS04MDYxLTI4YjkxMWM2ZDRjY9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e52593be07c50653&srepoch=1756933262&all_sr_blocks=1466346901_417960747_2_0_0&highlighted_blocks=1466346901_417960747_2_0_0&matching_block_id=1466346901_417960747_2_0_0&sr_pri_blocks=1466346901_417960747_2_0_0__1550000&from=searchresults
Doubletree By Hilton Nathiagali,Nathia Gali,4.3 km from Ayubia,[],8.0,"PKR 51,300",https://cf.bstatic.com/xdata/images/hotel/square240/733395173.webp?k=8fd6145df472a06eabaa5b49c903bcabe2e043e6bd1bb64eb26b3a9571ea7167&o=,https://www.booking.com/hotel/pk/doubletree-by-hilton-nathiagali.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9heXViaWFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL82OLFBsACAdICJDc5NDkyYmI3LTdjMTMtNDRkYS04MDYxLTI4YjkxMWM2ZDRjY9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e52593be07c50653&srepoch=1756933262&all_sr_blocks=1434884202_415074435_2_0_0&highlighted_blocks=1434884202_415074435_2_0_0&matching_block_id=1434884202_415074435_2_0_0&sr_pri_blocks=1434884202_415074435_2_0_0__5130000&from_sustainable_property_sr=1&from=searchresults
Zesora Nathia Gali,Nathia Gali,4.9 km from Ayubia,[],8.5,"PKR 31,200",https://cf.bstatic.com/xdata/images/hotel/square240/710387390.webp?k=a82555a45a0d545428c1d0d057c6bb87ad7354b989ab8f8081d9e7f8972ecef0&o=,https://www.booking.com/hotel/pk/zesora-nathia-gali.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9heXViaWFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL82OLFBsACAdICJDc5NDkyYmI3LTdjMTMtNDRkYS04MDYxLTI4YjkxMWM2ZDRjY9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e52593be07c50653&srepoch=1756933262&all_sr_blocks=1452928005_417089810_2_1_0&highlighted_blocks=1452928005_417089810_2_1_0&matching_block_id=1452928005_417089810_2_1_0&sr_pri_blocks=1452928005_417089810_2_1_0__3120000&from=searchresults
Richmond Boutique Hotel,Nathia Gali,4.8 km from Ayubia,[],7.0,"PKR 22,500",https://cf.bstatic.com/xdata/images/hotel/square240/321830429.webp?k=86f49696888b3c574897f19c61665174261b3601f1a154233b04edab9c99230f&o=,https://www.booking.com/hotel/pk/richmond-boutique-nathia-gali.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9heXViaWFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL82OLFBsACAdICJDc5NDkyYmI3LTdjMTMtNDRkYS04MDYxLTI4YjkxMWM2ZDRjY9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e52593be07c50653&srepoch=1756933262&all_sr_blocks=777511401_353783616_2_1_0_763304&highlighted_blocks=777511401_353783616_2_1_0_763304&matching_block_id=777511401_353783616_2_1_0_763304&sr_pri_blocks=777511401_353783616_2_1_0_763304_2250000&from=searchresults
"Haven Hilltop Cottage, Dunga Gali",Dunga Gali,2.6 km from Ayubia,"['Entire vacation home', '1 bedroom', '1 living room', '1 bathroom', '1 kitchen', '275 m²']",10,"PKR 18,000",https://cf.bstatic.com/xdata/images/hotel/square240/709679195.webp?k=2316ea2294885d1535b6cde801fbe4b5cf24c724958c78a3f1095cb53fcc6408&o=,https://www.booking.com/hotel/pk/haven-in-the-mountains-cottage.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9heXViaWFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL82OLFBsACAdICJDc5NDkyYmI3LTdjMTMtNDRkYS04MDYxLTI4YjkxMWM2ZDRjY9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e52593be07c50653&srepoch=1756933262&all_sr_blocks=1437853302_415281811_3_0_0&highlighted_blocks=1437853302_415281811_3_0_0&matching_block_id=1437853302_415281811_3_0_0&sr_pri_blocks=1437853302_415281811_3_0_0__1800000&from=searchresults
Panorama Luxury House,Nathia Gali,5 km from Ayubia,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '1 kitchen']",7.6,"PKR 35,000",https://cf.bstatic.com/xdata/images/hotel/square240/475073854.webp?k=b36b13d2ad42dd519a1065b5c33c8865afca683ae8e7e28bd1dc0e2762047b90&o=,https://www.booking.com/hotel/pk/nathia-gali-elite-homes.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9heXViaWFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL82OLFBsACAdICJDc5NDkyYmI3LTdjMTMtNDRkYS04MDYxLTI4YjkxMWM2ZDRjY9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e52593be07c50653&srepoch=1756933262&all_sr_blocks=748549710_369633701_3_0_0&highlighted_blocks=748549710_369633701_3_0_0&matching_block_id=748549710_369633701_3_0_0&sr_pri_blocks=748549710_369633701_3_0_0__3500000&from=searchresults
Cedar Lodges Resort and Residences Galiyat,Chāngla Gali,4.4 km from Ayubia,"['Private suite', '1 bedroom', '1 living room', '1 bathroom', '48 m²']",8.5,"PKR 27,000",https://cf.bstatic.com/xdata/images/hotel/square240/530216452.webp?k=35c5e8aa2b5d448968b4a91c4f6b126dfd14b179024e161ed87d626e1a0b622a&o=,https://www.booking.com/hotel/pk/cedar-lodges-and-resorts.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9heXViaWFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL82OLFBsACAdICJDc5NDkyYmI3LTdjMTMtNDRkYS04MDYxLTI4YjkxMWM2ZDRjY9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e52593be07c50653&srepoch=1756933262&all_sr_blocks=1143285103_388584983_4_1_0&highlighted_blocks=1143285103_388584983_4_1_0&matching_block_id=1143285103_388584983_4_1_0&sr_pri_blocks=1143285103_388584983_4_1_0__2700000&from=searchresults
Canari Hotel kashmir view,Nathia Gali,2.9 km from Ayubia,"['Private suite', '2 bedrooms', '1 living room', '2 bathrooms', '18 m²']",9.2,"PKR 14,000",https://cf.bstatic.com/xdata/images/hotel/square240/391665594.webp?k=e8f7d09f70b5c4fc7c2bff1e09ee26c7b9a844388342c8e770c11a3689320576&o=,https://www.booking.com/hotel/pk/canari-kashmir-view.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9heXViaWFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL82OLFBsACAdICJDc5NDkyYmI3LTdjMTMtNDRkYS04MDYxLTI4YjkxMWM2ZDRjY9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e52593be07c50653&srepoch=1756933262&all_sr_blocks=879821002_375872527_6_2_0&highlighted_blocks=879821002_375872527_6_2_0&matching_block_id=879821002_375872527_6_2_0&sr_pri_blocks=879821002_375872527_6_2_0__1400000&from=searchresults
The mountain lounge,Nathia Gali,4.2 km from Ayubia,[],N/A,"PKR 18,000",https://cf.bstatic.com/xdata/images/hotel/square240/723390806.webp?k=8bd188d44b187a05677d50fe95daad1866c92355180152bfe87e60c9c0b4d7f7&o=,https://www.booking.com/hotel/pk/the-mountain-lounge.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9heXViaWFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL82OLFBsACAdICJDc5NDkyYmI3LTdjMTMtNDRkYS04MDYxLTI4YjkxMWM2ZDRjY9gCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e52593be07c50653&srepoch=1756933262&all_sr_blocks=1466044801_418681198_2_1_0&highlighted_blocks=1466044801_418681198_2_1_0&matching_block_id=1466044801_418681198_2_1_0&sr_pri_blocks=1466044801_418681198_2_1_0__1800000&from=searchresults
