Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Faletti's Grand Hotel Gujranwala,Gujrānwāla,5.5 km from downtown,[],7.9,"PKR 20,704",https://cf.bstatic.com/xdata/images/hotel/square240/622147122.webp?k=16e70dac09ef83001c99ada8f9e2360ed35f066b56b8307af77ac972ffc7d7f9&o=,https://www.booking.com/hotel/pk/falettis-grand-gujranwala.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9ndWpyYW53YWxhSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCt9fixQbAAgHSAiQwYzQzYWU1Yi0yMDQ4LTRiMzctYjE2Zi0zZGRlMGE0YWMxZjHYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=5396935b0f4d039b&srepoch=1756933060&all_sr_blocks=1320404601_409705809_2_1_0&highlighted_blocks=1320404601_409705809_2_1_0&matching_block_id=1320404601_409705809_2_1_0&sr_pri_blocks=1320404601_409705809_2_1_0__2070390&from=searchresults
Best Western City Center Gujranwala,Gujrānwāla,1.5 km from downtown,[],9.8,"PKR 20,825",https://cf.bstatic.com/xdata/images/hotel/square240/646233519.webp?k=da31e1011c4ce9a3eab25c7e90f3b934ba64702d79b03acd9399546bbf8ee8ef&o=,https://www.booking.com/hotel/pk/best-western-city-center-gujranwala.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9ndWpyYW53YWxhSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCt9fixQbAAgHSAiQwYzQzYWU1Yi0yMDQ4LTRiMzctYjE2Zi0zZGRlMGE0YWMxZjHYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=5396935b0f4d039b&srepoch=1756933060&all_sr_blocks=1358197901_409733165_0_0_0&highlighted_blocks=1358197901_409733165_0_0_0&matching_block_id=1358197901_409733165_0_0_0&sr_pri_blocks=1358197901_409733165_0_0_0__2082500&from=searchresults
SH FARM & GUEST House,Babiānwāli,3.1 km from Gujrānwāla,[],7.6,"PKR 5,040",https://cf.bstatic.com/xdata/images/hotel/square240/665531689.webp?k=188b59369088d9750796c11d14af54f119b0f706e8c1fd78fb890062570a6c88&o=,https://www.booking.com/hotel/pk/sh-farm-amp-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9ndWpyYW53YWxhSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCt9fixQbAAgHSAiQwYzQzYWU1Yi0yMDQ4LTRiMzctYjE2Zi0zZGRlMGE0YWMxZjHYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=5396935b0f4d039b&srepoch=1756933060&all_sr_blocks=1385953801_410612033_2_2_0&highlighted_blocks=1385953801_410612033_2_2_0&matching_block_id=1385953801_410612033_2_2_0&sr_pri_blocks=1385953801_410612033_2_2_0__504000&from=searchresults
Avari Boutique Gujranwala,Fattu Mand,4.7 km from Gujrānwāla,[],8.9,"PKR 20,000",https://cf.bstatic.com/xdata/images/hotel/square240/655711185.webp?k=563e0cc106c76081cb078d8e615cc52561242c87d7d5bc361a547555e4e3c77d&o=,https://www.booking.com/hotel/pk/avari-boutique-gujranwala.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9ndWpyYW53YWxhSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCt9fixQbAAgHSAiQwYzQzYWU1Yi0yMDQ4LTRiMzctYjE2Zi0zZGRlMGE0YWMxZjHYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5396935b0f4d039b&srepoch=1756933060&all_sr_blocks=1351755301_407512798_2_1_0&highlighted_blocks=1351755301_407512798_2_1_0&matching_block_id=1351755301_407512798_2_1_0&sr_pri_blocks=1351755301_407512798_2_1_0__2000000&from=searchresults
Aitco Enterprise,Theri Sahnsi Railroad Station,2.2 km from Gujrānwāla,[],N/A,"PKR 7,000",https://cf.bstatic.com/xdata/images/hotel/square240/732656245.webp?k=432231ba6b86a179734bbb9e9991fec3d7a0cf2313355d72abde83a9c6910662&o=,https://www.booking.com/hotel/pk/aitco-enterprise.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9ndWpyYW53YWxhSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCt9fixQbAAgHSAiQwYzQzYWU1Yi0yMDQ4LTRiMzctYjE2Zi0zZGRlMGE0YWMxZjHYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5396935b0f4d039b&srepoch=1756933060&all_sr_blocks=1477589301_419213419_1_0_0%2C1477589301_419213419_1_0_0&highlighted_blocks=1477589301_419213419_1_0_0%2C1477589301_419213419_1_0_0&matching_block_id=1477589301_419213419_1_0_0&sr_pri_blocks=1477589301_419213419_1_0_0__350000%2C1477589301_419213419_1_0_0__350000&from=searchresults
S H Residence & APARTMENTS,Mūsapur,9.2 km from Gujrānwāla,"['Entire apartment', '2 bedrooms', '2 living rooms', '2 bathrooms', '1 kitchen', '84 m²']",9.0,"PKR 9,000",https://cf.bstatic.com/xdata/images/hotel/square240/644622714.webp?k=46019af5e0194f86230c700ccbc10750098575ee92f58f4ab201150ccf7c31fc&o=,https://www.booking.com/hotel/pk/s-h-residence-amp-apartments.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9ndWpyYW53YWxhSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCt9fixQbAAgHSAiQwYzQzYWU1Yi0yMDQ4LTRiMzctYjE2Zi0zZGRlMGE0YWMxZjHYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=5396935b0f4d039b&srepoch=1756933060&all_sr_blocks=1355284301_407843440_2_0_0&highlighted_blocks=1355284301_407843440_2_0_0&matching_block_id=1355284301_407843440_2_0_0&sr_pri_blocks=1355284301_407843440_2_0_0__900000&from=searchresults
Paragon Penthouse,Ado Rāi,9.1 km from Gujrānwāla,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '87 m²']",5.1,"PKR 6,922",https://cf.bstatic.com/xdata/images/hotel/square240/671279692.webp?k=706691384681824978abf09845b50464c90d51dce4fc3a1cfa7ff88d4285f37e&o=,https://www.booking.com/hotel/pk/paragon-penthouse.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9ndWpyYW53YWxhSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCt9fixQbAAgHSAiQwYzQzYWU1Yi0yMDQ4LTRiMzctYjE2Zi0zZGRlMGE0YWMxZjHYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=5396935b0f4d039b&srepoch=1756933060&all_sr_blocks=1320077201_405543361_2_0_0&highlighted_blocks=1320077201_405543361_2_0_0&matching_block_id=1320077201_405543361_2_0_0&sr_pri_blocks=1320077201_405543361_2_0_0__692226&from=searchresults
Orient Heights,Ado Rāi,9.1 km from Gujrānwāla,"['Entire apartment', '1 bedroom', '1 bathroom', '70 m²']",N/A,"PKR 6,899",https://cf.bstatic.com/xdata/images/hotel/square240/696292656.webp?k=9520014e3e1d766ea9bf2acb3ed85ece0a90eb9f326ac91fc2ad43228508622b&o=,https://www.booking.com/hotel/pk/divine-lodges-gujranwala.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9ndWpyYW53YWxhSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCt9fixQbAAgHSAiQwYzQzYWU1Yi0yMDQ4LTRiMzctYjE2Zi0zZGRlMGE0YWMxZjHYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=5396935b0f4d039b&srepoch=1756933060&all_sr_blocks=1435569501_415059193_2_0_0&highlighted_blocks=1435569501_415059193_2_0_0&matching_block_id=1435569501_415059193_2_0_0&sr_pri_blocks=1435569501_415059193_2_0_0__689900&from=searchresults
Divine Lodges,Kotli Sāhib Singh,8 km from Gujrānwāla,"['Entire apartment', '1 bedroom', '1 bathroom', '111 m²']",N/A,"PKR 8,000",https://cf.bstatic.com/xdata/images/hotel/square240/697507037.webp?k=c233b3d40cfb5da7ee13c071e76cbef77df5454b6a1c42fc324a75c433b296af&o=,https://www.booking.com/hotel/pk/divine-lodges-gujranwala1.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9ndWpyYW53YWxhSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCt9fixQbAAgHSAiQwYzQzYWU1Yi0yMDQ4LTRiMzctYjE2Zi0zZGRlMGE0YWMxZjHYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5396935b0f4d039b&srepoch=1756933060&all_sr_blocks=1437274301_415221745_2_0_0&highlighted_blocks=1437274301_415221745_2_0_0&matching_block_id=1437274301_415221745_2_0_0&sr_pri_blocks=1437274301_415221745_2_0_0__800000&from=searchresults
2 Bedrooms Apartments For Rent,Kotli Sāhib Singh,8.4 km from Gujrānwāla,"['Entire apartment', '1 bedroom', '1 living room', '2 bathrooms']",N/A,"PKR 10,000",https://cf.bstatic.com/xdata/images/hotel/square240/731083213.webp?k=60a829082387aa611f3050970aeb9fab74b00f4cd13d06d51dec83dd998a9453&o=,https://www.booking.com/hotel/pk/2-bedrooms-apartments-for-rent.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9ndWpyYW53YWxhSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCt9fixQbAAgHSAiQwYzQzYWU1Yi0yMDQ4LTRiMzctYjE2Zi0zZGRlMGE0YWMxZjHYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=5396935b0f4d039b&srepoch=1756933060&all_sr_blocks=1475687101_418989581_5_0_0&highlighted_blocks=1475687101_418989581_5_0_0&matching_block_id=1475687101_418989581_5_0_0&sr_pri_blocks=1475687101_418989581_5_0_0__1000000&from=searchresults
