Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Embassy inn Guest House Hyderabad,Hyderabad,3.1 km from downtown,[],6.1,"PKR 3,500",https://cf.bstatic.com/xdata/images/hotel/square240/667512237.webp?k=1a7229d520bd91d4703c26fded21389e049838b3adf229c737dbf477cbb6278d&o=,https://www.booking.com/hotel/pk/embassy-boys-hostel-hyderabad.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9oeWRlcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALh1-LFBsACAdICJDQ3NTU0MGU3LTZlNjAtNDc2Zi04MjM1LWM2YTMzZDM1OWJhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b72a937034f2038b&srepoch=1756933110&all_sr_blocks=942385703_371178374_0_42_0&highlighted_blocks=942385703_371178374_0_42_0&matching_block_id=942385703_371178374_0_42_0&sr_pri_blocks=942385703_371178374_0_42_0__350000&from=searchresults
Jannat Guest House Hyd,Hyderabad,3.1 km from downtown,[],7.1,"PKR 4,400",https://cf.bstatic.com/xdata/images/hotel/square240/59672191.webp?k=8ad5b23337d0a2cf9e86fefc1512f6cedbf532cf75bb59dcf3cb20c5970ef39f&o=,https://www.booking.com/hotel/pk/jannat-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9oeWRlcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALh1-LFBsACAdICJDQ3NTU0MGU3LTZlNjAtNDc2Zi04MjM1LWM2YTMzZDM1OWJhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b72a937034f2038b&srepoch=1756933110&all_sr_blocks=161315902_200533127_2_1_0&highlighted_blocks=161315902_200533127_2_1_0&matching_block_id=161315902_200533127_2_1_0&sr_pri_blocks=161315902_200533127_2_1_0__440000&from=searchresults
Grand Blu Hotel,Hyderabad,8.4 km from downtown,[],8.1,"PKR 22,000",https://cf.bstatic.com/xdata/images/hotel/square240/686493729.webp?k=b12daf502ba77b31a634b2975da313e64d1e544f486d2aec2e7a029da7be0f8c&o=,https://www.booking.com/hotel/pk/grand-blu.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9oeWRlcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALh1-LFBsACAdICJDQ3NTU0MGU3LTZlNjAtNDc2Zi04MjM1LWM2YTMzZDM1OWJhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b72a937034f2038b&srepoch=1756933110&all_sr_blocks=1420525101_413703229_2_1_0&highlighted_blocks=1420525101_413703229_2_1_0&matching_block_id=1420525101_413703229_2_1_0&sr_pri_blocks=1420525101_413703229_2_1_0__2200000&from=searchresults
The Serena guest House,Hyderabad,3.2 km from downtown,[],7.8,"PKR 4,050",https://cf.bstatic.com/xdata/images/hotel/square240/580468435.webp?k=6b67a9aa59c68d1725822e1576d32db0cc86ab64546f5467b35e7cdbe51ac33f&o=,https://www.booking.com/hotel/pk/the-serena-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9oeWRlcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALh1-LFBsACAdICJDQ3NTU0MGU3LTZlNjAtNDc2Zi04MjM1LWM2YTMzZDM1OWJhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b72a937034f2038b&srepoch=1756933110&all_sr_blocks=1247108001_397060721_2_1_0&highlighted_blocks=1247108001_397060721_2_1_0&matching_block_id=1247108001_397060721_2_1_0&sr_pri_blocks=1247108001_397060721_2_1_0__405000&from=searchresults
Indus Hotel,Hyderabad,3.4 km from downtown,[],7.2,"PKR 28,000",https://cf.bstatic.com/xdata/images/hotel/square240/157891173.webp?k=178f804526040a7f3aac4a3d249d7d431f85803f199de2f80ec356bbd4c3a542&o=,https://www.booking.com/hotel/pk/indus-hyderabad.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9oeWRlcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALh1-LFBsACAdICJDQ3NTU0MGU3LTZlNjAtNDc2Zi04MjM1LWM2YTMzZDM1OWJhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b72a937034f2038b&srepoch=1756933110&all_sr_blocks=395380702_392522082_0_41_0&highlighted_blocks=395380702_392522082_0_41_0&matching_block_id=395380702_392522082_0_41_0&sr_pri_blocks=395380702_392522082_0_41_0__2800000&from=searchresults
Al Rehman guest hous,Hyderabad,3.3 km from downtown,[],7.3,"PKR 7,000",https://cf.bstatic.com/xdata/images/hotel/square240/348321733.webp?k=8a59686f90f67cb69d3e0548161e7d697763d4b87d41dde0d88fb4ad577b6653&o=,https://www.booking.com/hotel/pk/rehaish-inn-hyderabad.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9oeWRlcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALh1-LFBsACAdICJDQ3NTU0MGU3LTZlNjAtNDc2Zi04MjM1LWM2YTMzZDM1OWJhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b72a937034f2038b&srepoch=1756933110&all_sr_blocks=273571903_387238019_3_2_0&highlighted_blocks=273571903_387238019_3_2_0&matching_block_id=273571903_387238019_3_2_0&sr_pri_blocks=273571903_387238019_3_2_0__700000&from=searchresults
Al Raheem Guest House,Hyderabad,3 km from downtown,[],8.3,"PKR 4,750",https://cf.bstatic.com/xdata/images/hotel/square240/646487997.webp?k=899b2d4e012ef8b07bce51c02c2fd5f9a337c248393e0acfc7c509c5a7e4b292&o=,https://www.booking.com/hotel/pk/al-raheem-guest-house-hyderabad3.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9oeWRlcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALh1-LFBsACAdICJDQ3NTU0MGU3LTZlNjAtNDc2Zi04MjM1LWM2YTMzZDM1OWJhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b72a937034f2038b&srepoch=1756933110&all_sr_blocks=1358713901_408193602_2_1_0&highlighted_blocks=1358713901_408193602_2_1_0&matching_block_id=1358713901_408193602_2_1_0&sr_pri_blocks=1358713901_408193602_2_1_0__475000&from=searchresults
The Royal Palace Guest House,Hyderabad,3.1 km from downtown,[],N/A,"PKR 10,499",https://cf.bstatic.com/xdata/images/hotel/square240/565969598.webp?k=3682010e812e82d2216c7f74ce1310672ba701cc163cb597ba2b149f940599b4&o=,https://www.booking.com/hotel/pk/the-royal-palace-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9oeWRlcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALh1-LFBsACAdICJDQ3NTU0MGU3LTZlNjAtNDc2Zi04MjM1LWM2YTMzZDM1OWJhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b72a937034f2038b&srepoch=1756933110&all_sr_blocks=1220813301_401870824_2_1_0&highlighted_blocks=1220813301_401870824_2_1_0&matching_block_id=1220813301_401870824_2_1_0&sr_pri_blocks=1220813301_401870824_2_1_0__1049900&from=searchresults
Serena Hotel,Hyderabad,3.2 km from downtown,[],6.7,"PKR 8,000",https://cf.bstatic.com/xdata/images/hotel/square240/559561932.webp?k=645525b346cdd1b6e37e664ea1dde433beaf859cd722aaffca36fd64f20581a5&o=,https://www.booking.com/hotel/pk/serena.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9oeWRlcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALh1-LFBsACAdICJDQ3NTU0MGU3LTZlNjAtNDc2Zi04MjM1LWM2YTMzZDM1OWJhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b72a937034f2038b&srepoch=1756933110&all_sr_blocks=1210636301_393238627_1_1_0%2C1210636301_393238627_1_1_0&highlighted_blocks=1210636301_393238627_1_1_0%2C1210636301_393238627_1_1_0&matching_block_id=1210636301_393238627_1_1_0&sr_pri_blocks=1210636301_393238627_1_1_0__400000%2C1210636301_393238627_1_1_0__400000&from=searchresults
Mjs Home,Goth Jām Shor,11 km from Hyderabad,[],N/A,"PKR 3,000",https://cf.bstatic.com/xdata/images/hotel/square240/725084390.webp?k=8e89556177435e91756703f03010be82c389672b9d58ba8f7fcf715b68f54452&o=,https://www.booking.com/hotel/pk/mjs-home.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9oeWRlcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALh1-LFBsACAdICJDQ3NTU0MGU3LTZlNjAtNDc2Zi04MjM1LWM2YTMzZDM1OWJhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b72a937034f2038b&srepoch=1756933110&all_sr_blocks=1468755701_418189262_4_1_0&highlighted_blocks=1468755701_418189262_4_1_0&matching_block_id=1468755701_418189262_4_1_0&sr_pri_blocks=1468755701_418189262_4_1_0__300000&from=searchresults
