Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Elysium Tower Premium Hotel Serviced Apartments Islamabad,"Blue Area, Islamabad",4.6 km from downtown,"['Entire studio', '1 bathroom', '1 kitchen', '79 m²']",10,"PKR 16,200",https://cf.bstatic.com/xdata/images/hotel/square240/708179965.webp?k=386aa735c6c34f47f00fabf5e4be253e07c06753b04630e83ef0f70add975492&o=,https://www.booking.com/hotel/pk/elysium-tower-premium-serviced-apartments-islamabad.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9pc2xhbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKf1OLFBsACAdICJDI2OWViYjg3LTE1NWQtNDViZC05NzgwLThjYWZiOTgxMzczZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=5f4c928f50a806df&srepoch=1756932671&all_sr_blocks=1451033701_416456281_2_1_0_1135948&highlighted_blocks=1451033701_416456281_2_1_0_1135948&matching_block_id=1451033701_416456281_2_1_0_1135948&sr_pri_blocks=1451033701_416456281_2_1_0_1135948_1620000&from=searchresults
Casa Blanca Guesthouse Islamabad,"F-7 Sector, Islamabad",4.1 km from downtown,[],6.1,"PKR 5,106",https://cf.bstatic.com/xdata/images/hotel/square240/606668109.webp?k=833783d7dec78391193bdbf18cbaf9609f442c9e2856aeb2f1befcbc3e2086e4&o=,https://www.booking.com/hotel/pk/casa-blanca-guesthouse-islamabad.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9pc2xhbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKf1OLFBsACAdICJDI2OWViYjg3LTE1NWQtNDViZC05NzgwLThjYWZiOTgxMzczZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=5f4c928f50a806df&srepoch=1756932671&all_sr_blocks=1297788901_402687805_2_2_0&highlighted_blocks=1297788901_402687805_2_2_0&matching_block_id=1297788901_402687805_2_2_0&sr_pri_blocks=1297788901_402687805_2_2_0__510570&from=searchresults
Dream Executive Guest House,"E-11 Sector, Islamabad",10.9 km from downtown,[],8.7,"PKR 9,180",https://cf.bstatic.com/xdata/images/hotel/square240/551997913.webp?k=4b777af40e2b8255d3d6f7d75bf4376bae9c6820a303ae689ab5cedce59bf9ed&o=,https://www.booking.com/hotel/pk/capital-inn-guest-house-islamabad.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9pc2xhbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKf1OLFBsACAdICJDI2OWViYjg3LTE1NWQtNDViZC05NzgwLThjYWZiOTgxMzczZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=5f4c928f50a806df&srepoch=1756932671&all_sr_blocks=1196105505_392345787_2_42_0_633955&highlighted_blocks=1196105505_392345787_2_42_0_633955&matching_block_id=1196105505_392345787_2_42_0_633955&sr_pri_blocks=1196105505_392345787_2_42_0_633955_918000&from=searchresults
Shelton's Ambassador Hotel Blue Area,"Blue Area, Islamabad",3.7 km from downtown,[],8.5,"PKR 19,000",https://cf.bstatic.com/xdata/images/hotel/square240/681815171.webp?k=9ee33d390a558956aa97fa2606b4ef35b25d960b733373701a79bbb4630ffc18&o=,https://www.booking.com/hotel/pk/shelton-blue-area.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9pc2xhbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKf1OLFBsACAdICJDI2OWViYjg3LTE1NWQtNDViZC05NzgwLThjYWZiOTgxMzczZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5f4c928f50a806df&srepoch=1756932671&all_sr_blocks=1337364702_406188744_0_1_0&highlighted_blocks=1337364702_406188744_0_1_0&matching_block_id=1337364702_406188744_0_1_0&sr_pri_blocks=1337364702_406188744_0_1_0__1900000&from=searchresults
Shelton's Ambassador,"Blue Area, Islamabad",3.7 km from downtown,[],8.4,"PKR 23,320",https://cf.bstatic.com/xdata/images/hotel/square240/263823251.webp?k=33d4e521257884585d729cba1165f21e1d0e0c66e993eea58b46b9edd2059c1a&o=,https://www.booking.com/hotel/pk/shelton-39-s-ambassador.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9pc2xhbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKf1OLFBsACAdICJDI2OWViYjg3LTE1NWQtNDViZC05NzgwLThjYWZiOTgxMzczZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5f4c928f50a806df&srepoch=1756932671&all_sr_blocks=663958404_272295001_2_1_0_665498&highlighted_blocks=663958404_272295001_2_1_0_665498&matching_block_id=663958404_272295001_2_1_0_665498&sr_pri_blocks=663958404_272295001_2_1_0_665498_2332000&from=searchresults
Travis Executive Guest House Islamabad,"E-11 Sector, Islamabad",11.2 km from downtown,[],8.3,"PKR 6,300",https://cf.bstatic.com/xdata/images/hotel/square240/688777059.webp?k=2cabfe62564cb3f541ecb042b88fd3d01de5f254e6ca9ae6f2c0ccf7d918860c&o=,https://www.booking.com/hotel/pk/comfort-zone-islamabad2.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9pc2xhbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKf1OLFBsACAdICJDI2OWViYjg3LTE1NWQtNDViZC05NzgwLThjYWZiOTgxMzczZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=5f4c928f50a806df&srepoch=1756932671&all_sr_blocks=1361696803_408481072_3_2_0&highlighted_blocks=1361696803_408481072_3_2_0&matching_block_id=1361696803_408481072_3_2_0&sr_pri_blocks=1361696803_408481072_3_2_0__630000&from=searchresults
Reina Boutique Hotel - G6,"G-6 Sector, Islamabad",1.1 km from downtown,[],8.3,"PKR 10,755",https://cf.bstatic.com/xdata/images/hotel/square240/476712221.webp?k=6cc1cd8ec114847961eb77ea56de701520995cb357bb1353976177f4f915abfc&o=,https://www.booking.com/hotel/pk/reina-boutique-g6-islamabad.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9pc2xhbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKf1OLFBsACAdICJDI2OWViYjg3LTE1NWQtNDViZC05NzgwLThjYWZiOTgxMzczZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=5f4c928f50a806df&srepoch=1756932671&all_sr_blocks=1042610901_376665903_3_2_0&highlighted_blocks=1042610901_376665903_3_2_0&matching_block_id=1042610901_376665903_3_2_0&sr_pri_blocks=1042610901_376665903_3_2_0__1075500&from=searchresults
Hayat Grand Guest House,"F-7 Sector, Islamabad",4.2 km from downtown,[],8.3,"PKR 13,545",https://cf.bstatic.com/xdata/images/hotel/square240/650072397.webp?k=23d6cbb264bf680f2355f15f920061025851f2447ba1f782b740e1836fcac73c&o=,https://www.booking.com/hotel/pk/hayat-grand-guest-house-islamabad.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9pc2xhbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKf1OLFBsACAdICJDI2OWViYjg3LTE1NWQtNDViZC05NzgwLThjYWZiOTgxMzczZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=5f4c928f50a806df&srepoch=1756932671&all_sr_blocks=1364732801_408911940_2_2_0&highlighted_blocks=1364732801_408911940_2_2_0&matching_block_id=1364732801_408911940_2_2_0&sr_pri_blocks=1364732801_408911940_2_2_0__1354500&from=searchresults
"Roomy Signature Hotel, Islamabad","F-6 Sector, Islamabad",1.4 km from downtown,[],8.1,"PKR 41,040",https://cf.bstatic.com/xdata/images/hotel/square240/463295676.webp?k=7875d270d9a806b06fd226248ec0dfee733d24db8c27b99a530e0880f844301f&o=,https://www.booking.com/hotel/pk/roomy-signature-islamabad.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9pc2xhbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKf1OLFBsACAdICJDI2OWViYjg3LTE1NWQtNDViZC05NzgwLThjYWZiOTgxMzczZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5f4c928f50a806df&srepoch=1756932671&all_sr_blocks=1011554301_373946535_2_1_0_1177557&highlighted_blocks=1011554301_373946535_2_1_0_1177557&matching_block_id=1011554301_373946535_2_1_0_1177557&sr_pri_blocks=1011554301_373946535_2_1_0_1177557_4104000&from=searchresults
Vanilla In Guest house,"E-11 Sector, Islamabad",10.7 km from downtown,[],9.1,"PKR 5,760",https://cf.bstatic.com/xdata/images/hotel/square240/662628273.webp?k=f72cbf379cbce80d4f4fa81a32c56b5121b8e9a9b0b2186c054fbcd8ac843d1e&o=,https://www.booking.com/hotel/pk/couples-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9pc2xhbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKf1OLFBsACAdICJDI2OWViYjg3LTE1NWQtNDViZC05NzgwLThjYWZiOTgxMzczZdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=5f4c928f50a806df&srepoch=1756932671&all_sr_blocks=1380790502_410178313_3_0_0_1071486&highlighted_blocks=1380790502_410178313_3_0_0_1071486&matching_block_id=1380790502_410178313_3_0_0_1071486&sr_pri_blocks=1380790502_410178313_3_0_0_1071486_576000&from=searchresults
