Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Kaghan Valley Hotel,Naran,N/A,[],N/A,N/A,https://cf.bstatic.com/xdata/images/hotel/square240/502829085.webp?k=27e778f25754d4fd5e36332c85762db64f5a5516cc81443206bbde39812f74e0&o=,https://www.booking.com/hotel/pk/kaghan-valley.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9rYWdoYW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKV2-LFBsACAdICJDE2ZmY2NDg0LTE4YWItNDQ0Ni04N2ZmLWNlY2NmYTExOTUyMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a3d4944a5a3402c5&srepoch=1756933545&soh=1&from=searchresults#no_availability_msg
Hotel Dream Palace,Naran,N/A,[],8.8,"PKR 7,695",https://cf.bstatic.com/xdata/images/hotel/square240/707336263.webp?k=55b0f8627d3b56b1180fb4cda24f1da8fdcc2e69a55d3f65f4da23b1bfb1e41c&o=,https://www.booking.com/hotel/pk/dream-palace-naran2.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9rYWdoYW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKV2-LFBsACAdICJDE2ZmY2NDg0LTE4YWItNDQ0Ni04N2ZmLWNlY2NmYTExOTUyMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=a3d4944a5a3402c5&srepoch=1756933545&all_sr_blocks=1439634002_415435359_2_2_0&highlighted_blocks=1439634002_415435359_2_2_0&matching_block_id=1439634002_415435359_2_2_0&sr_pri_blocks=1439634002_415435359_2_2_0__769500&from=searchresults
Ravi inn hotel,Burāwai,N/A,"['Entire apartment', '3 bedrooms', '12 bathrooms', '1,000 m²']",10,"PKR 5,400",https://cf.bstatic.com/xdata/images/hotel/square240/716289934.webp?k=9b741c43539f92918fd68939d997eb2816a4e60e6e1033c11574f5bfc4054138&o=,https://www.booking.com/hotel/pk/ravi-inn.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9rYWdoYW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKV2-LFBsACAdICJDE2ZmY2NDg0LTE4YWItNDQ0Ni04N2ZmLWNlY2NmYTExOTUyMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=a3d4944a5a3402c5&srepoch=1756933545&all_sr_blocks=1459955701_417307909_38_0_0&highlighted_blocks=1459955701_417307909_38_0_0&matching_block_id=1459955701_417307909_38_0_0&sr_pri_blocks=1459955701_417307909_38_0_0__540000&from=searchresults
Bela Resorts Naran,Naran,N/A,[],7.2,"PKR 6,750",https://cf.bstatic.com/xdata/images/hotel/square240/693825535.webp?k=a31d47edff58717f3884bbb9df35df764e4b7a2b081a3c41607b06da7178d09e&o=,https://www.booking.com/hotel/pk/baila-lodge-naran.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9rYWdoYW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKV2-LFBsACAdICJDE2ZmY2NDg0LTE4YWItNDQ0Ni04N2ZmLWNlY2NmYTExOTUyMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=a3d4944a5a3402c5&srepoch=1756933545&all_sr_blocks=851702104_355444621_3_0_0&highlighted_blocks=851702104_355444621_3_0_0&matching_block_id=851702104_355444621_3_0_0&sr_pri_blocks=851702104_355444621_3_0_0__675000&from=searchresults
Sukoon Hideout Kaghan Valley,Lahar Bānda,N/A,[],N/A,"PKR 7,200",https://cf.bstatic.com/xdata/images/hotel/square240/704904756.webp?k=aa5a4c970c0604063c1256a9a084679d8daaf8ac48376ebc3207fdb3ff8261cf&o=,https://www.booking.com/hotel/pk/sukoon-hideout-kaghan-valley.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9rYWdoYW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKV2-LFBsACAdICJDE2ZmY2NDg0LTE4YWItNDQ0Ni04N2ZmLWNlY2NmYTExOTUyMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=a3d4944a5a3402c5&srepoch=1756933545&all_sr_blocks=1447545902_416140901_2_1_0_1131598&highlighted_blocks=1447545902_416140901_2_1_0_1131598&matching_block_id=1447545902_416140901_2_1_0_1131598&sr_pri_blocks=1447545902_416140901_2_1_0_1131598_720000&from=searchresults
Serene Resorts Naran,Naran,N/A,[],10,"PKR 22,610",https://cf.bstatic.com/xdata/images/hotel/square240/703159310.webp?k=8f227173fe1992ebfdbc0e8c601317a595f99a8b9b8307c9a1d7c261b625065a&o=,https://www.booking.com/hotel/pk/serene-resorts-naran.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9rYWdoYW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKV2-LFBsACAdICJDE2ZmY2NDg0LTE4YWItNDQ0Ni04N2ZmLWNlY2NmYTExOTUyMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=a3d4944a5a3402c5&srepoch=1756933545&all_sr_blocks=1445404702_416128093_2_1_0&highlighted_blocks=1445404702_416128093_2_1_0&matching_block_id=1445404702_416128093_2_1_0&sr_pri_blocks=1445404702_416128093_2_1_0__2261000&from=searchresults
The Barcelo Hotel Apartments,Naran,N/A,"['Entire apartment', '2 bedrooms', '1 living room', '2 bathrooms', '715 m²']",8.5,"PKR 30,599",https://cf.bstatic.com/xdata/images/hotel/square240/563044169.webp?k=45825747e76206b612bf05ecc16e227f923dc81bfb07815b1c069144c9c91119&o=,https://www.booking.com/hotel/pk/the-barcelo-apartments.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9rYWdoYW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKV2-LFBsACAdICJDE2ZmY2NDg0LTE4YWItNDQ0Ni04N2ZmLWNlY2NmYTExOTUyMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=a3d4944a5a3402c5&srepoch=1756933545&all_sr_blocks=1216216401_393800397_7_1_0&highlighted_blocks=1216216401_393800397_7_1_0&matching_block_id=1216216401_393800397_7_1_0&sr_pri_blocks=1216216401_393800397_7_1_0__3059910&from=searchresults
The Adventurers Resort,Dhechiān di Bahlk,N/A,[],N/A,"PKR 35,200",https://cf.bstatic.com/xdata/images/hotel/square240/695320873.webp?k=1d05e759b428aefac91d045417ce8ee17b012cbc75068659944cf195aea6fd2f&o=,https://www.booking.com/hotel/pk/the-adventurers-resort.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9rYWdoYW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKV2-LFBsACAdICJDE2ZmY2NDg0LTE4YWItNDQ0Ni04N2ZmLWNlY2NmYTExOTUyMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=a3d4944a5a3402c5&srepoch=1756933545&all_sr_blocks=1433977201_414939907_3_1_0&highlighted_blocks=1433977201_414939907_3_1_0&matching_block_id=1433977201_414939907_3_1_0&sr_pri_blocks=1433977201_414939907_3_1_0__3520000&from=searchresults
Eagle Resorts,Naran,N/A,[],3.0,"PKR 8,075",https://cf.bstatic.com/xdata/images/hotel/square240/715410708.webp?k=084a7441c96bb9374831bfaa3de0786ad492bed89b6a717f6b3e1180725d3fc0&o=,https://www.booking.com/hotel/pk/eagle-resorts.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9rYWdoYW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKV2-LFBsACAdICJDE2ZmY2NDg0LTE4YWItNDQ0Ni04N2ZmLWNlY2NmYTExOTUyMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=a3d4944a5a3402c5&srepoch=1756933545&all_sr_blocks=1458800501_417196588_2_0_0&highlighted_blocks=1458800501_417196588_2_0_0&matching_block_id=1458800501_417196588_2_0_0&sr_pri_blocks=1458800501_417196588_2_0_0__807500&from=searchresults
Jovial Gold Naran,Naran,N/A,[],8.0,"PKR 14,000",https://cf.bstatic.com/xdata/images/hotel/square240/471712142.webp?k=58a1ca8571c03ae0d3e2d200f21d135d28f239f0829676d714e9f1978921bf2a&o=,https://www.booking.com/hotel/pk/jumeirah-naran.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9rYWdoYW5IM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKV2-LFBsACAdICJDE2ZmY2NDg0LTE4YWItNDQ0Ni04N2ZmLWNlY2NmYTExOTUyMtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=a3d4944a5a3402c5&srepoch=1756933545&all_sr_blocks=857318401_356539335_0_1_0&highlighted_blocks=857318401_356539335_0_1_0&matching_block_id=857318401_356539335_0_1_0&sr_pri_blocks=857318401_356539335_0_1_0__1400000&from=searchresults
