Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
"Greens By Roomy, Kalam",Kalām,7.2 km from downtown,[],8.5,"PKR 20,000",https://cf.bstatic.com/xdata/images/hotel/square240/375122440.webp?k=c2defc5e6aec2abf2de17292bf2bd36d7e4d9627f5b4f3e4b5b19686ddc72600&o=,https://www.booking.com/hotel/pk/greens-by-roomy.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=878383201_376144413_2_1_0_1078016&highlighted_blocks=878383201_376144413_2_1_0_1078016&matching_block_id=878383201_376144413_2_1_0_1078016&sr_pri_blocks=878383201_376144413_2_1_0_1078016_2000000&from=searchresults
Kabirs Hotel Kalam,Kalām,8.9 km from downtown,[],7.8,"PKR 9,999",https://cf.bstatic.com/xdata/images/hotel/square240/667082833.webp?k=3b3e8c90ae1aef09f7070ab205eac1e976207efa578ad5bbea7c60488fe18102&o=,https://www.booking.com/hotel/pk/white-forest-kalam.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1266507802_399353407_0_0_0&highlighted_blocks=1266507802_399353407_0_0_0&matching_block_id=1266507802_399353407_0_0_0&sr_pri_blocks=1266507802_399353407_0_0_0__999900&from=searchresults
Regal one hotel,Kalām,2.9 km from downtown,[],7.5,"PKR 3,000",https://cf.bstatic.com/xdata/images/hotel/square240/471547313.webp?k=e743633d940c7eec28e09bd21cc9358912fb73a6e6acd9f359fce2eedd594e04&o=,https://www.booking.com/hotel/pk/regal-one-kalam1.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1031281401_403827075_0_2_0&highlighted_blocks=1031281401_403827075_0_2_0&matching_block_id=1031281401_403827075_0_2_0&sr_pri_blocks=1031281401_403827075_0_2_0__300000&from=searchresults
Rock Water Resort Kalam,Kalām,7.6 km from downtown,[],9.0,"PKR 7,800",https://cf.bstatic.com/xdata/images/hotel/square240/680353963.webp?k=1e9169c1edca5e26979430c223beae211683185f2c88efe973e0c2138d515afb&o=,https://www.booking.com/hotel/pk/rock-water-resort-kalam-kalam1.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1410462601_412801078_2_41_0_922935&highlighted_blocks=1410462601_412801078_2_41_0_922935&matching_block_id=1410462601_412801078_2_41_0_922935&sr_pri_blocks=1410462601_412801078_2_41_0_922935_780000&from=searchresults
Green Pak Kalam by Pearl Continental,Kalām,5.9 km from downtown,[],10,"PKR 17,170",https://cf.bstatic.com/xdata/images/hotel/square240/717035743.webp?k=15b9e0cd2a25964d41ffea612b74440ce11ee3326c059018092d107eb998d005&o=,https://www.booking.com/hotel/pk/green-pak-kalam-by-pearl-continental.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1460839001_418656651_2_1_0&highlighted_blocks=1460839001_418656651_2_1_0&matching_block_id=1460839001_418656651_2_1_0&sr_pri_blocks=1460839001_418656651_2_1_0__1717000&from=searchresults
Darweshkhana Bed & Breakfast,Kalām,6.4 km from downtown,[],1.0,"PKR 5,000",https://cf.bstatic.com/xdata/images/hotel/square240/728794762.webp?k=b66566a9f98c47d698528356308a58ed3e3ecf0d20fa640de73e1b79185ff1a3&o=,https://www.booking.com/hotel/pk/darweshkhana-bed-amp-breakfast.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1473472102_418673711_5_2_0&highlighted_blocks=1473472102_418673711_5_2_0&matching_block_id=1473472102_418673711_5_2_0&sr_pri_blocks=1473472102_418673711_5_2_0__500000&from=searchresults
Gawalmandi Serenity Kalam,Kalām,6 km from downtown,[],9.0,"PKR 5,000",https://cf.bstatic.com/xdata/images/hotel/square240/305163787.webp?k=780a95b1b6fc43d5ec92df9f151e3cad5a9f382bb779455f594777e888b677fc&o=,https://www.booking.com/hotel/pk/gawalmandi-serenity-kalam.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=744893701_355682114_3_0_0&highlighted_blocks=744893701_355682114_3_0_0&matching_block_id=744893701_355682114_3_0_0&sr_pri_blocks=744893701_355682114_3_0_0__500000&from=searchresults
Royal cottages kalam,Kalām,10.2 km from downtown,[],9.0,"PKR 3,400",https://cf.bstatic.com/xdata/images/hotel/square240/621278691.webp?k=7a130aae144a33cc05dc4b50a9da9041133ef7aa1dda6bc11246c1b6363c56da&o=,https://www.booking.com/hotel/pk/royal-cottages-kalam.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1319314601_404645123_6_42_0&highlighted_blocks=1319314601_404645123_6_42_0&matching_block_id=1319314601_404645123_6_42_0&sr_pri_blocks=1319314601_404645123_6_42_0__340000&from=searchresults
Hotel Birmingham Palace Kalam by Khan Familia,Kalām,7.2 km from downtown,[],8.2,"PKR 13,154",https://cf.bstatic.com/xdata/images/hotel/square240/659923608.webp?k=285d1d989e3ba0335f382809b639ef997d5c4af46f6dd8b46c1313ab23584778&o=,https://www.booking.com/hotel/pk/birmingham-palace-kalam-by-khan-familia.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1379222501_410045653_2_1_0_851587&highlighted_blocks=1379222501_410045653_2_1_0_851587&matching_block_id=1379222501_410045653_2_1_0_851587&sr_pri_blocks=1379222501_410045653_2_1_0_851587_1315350&from=searchresults
Kuwait Continental Hotel Bahrain by Khan Familia,Kalām,35.7 km from downtown,[],10,"PKR 10,109",https://cf.bstatic.com/xdata/images/hotel/square240/670948026.webp?k=11ea0349333040df6b138b630aacdc6b9bea1c9904c345399b61b5efa02947ee&o=,https://www.booking.com/hotel/pk/the-gold-palace-by-khan-familia.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1377656603_409891051_0_1_0_848705&highlighted_blocks=1377656603_409891051_0_1_0_848705&matching_block_id=1377656603_409891051_0_1_0_848705&sr_pri_blocks=1377656603_409891051_0_1_0_848705_1010880&from=searchresults
"Walnut Heights By Roomy, Kalam",Kalām,7.2 km from downtown,[],8.5,"PKR 28,900",https://cf.bstatic.com/xdata/images/hotel/square240/402630799.webp?k=dcab31bf1d9548024925049e6fa8b89791b9f9e16fdeb3235cec07aae84d0e41&o=,https://www.booking.com/hotel/pk/walnut-heights-by-roomy.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=915571503_376144227_4_1_0_1077918&highlighted_blocks=915571503_376144227_4_1_0_1077918&matching_block_id=915571503_376144227_4_1_0_1077918&sr_pri_blocks=915571503_376144227_4_1_0_1077918_2890000&from=searchresults
Zen Luxus,Kalām,5.7 km from downtown,[],9.3,"PKR 24,074",https://cf.bstatic.com/xdata/images/hotel/square240/535818858.webp?k=bcf2c9ecfbf7a23b65117638a0cb7853ea04a290418c9932e16b44aa32d83e75&o=,https://www.booking.com/hotel/pk/zen-luxus.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1170279201_389591286_2_1_0&highlighted_blocks=1170279201_389591286_2_1_0&matching_block_id=1170279201_389591286_2_1_0&sr_pri_blocks=1170279201_389591286_2_1_0__2407410&from=searchresults
kalam rezidor hotel,Kalām,6 km from downtown,[],N/A,"PKR 3,150",https://cf.bstatic.com/xdata/images/hotel/square240/728006607.webp?k=4cc24e0dcc1084a6245323f5c85bca43fb0cf44508f0b9988c1b60fd444b7429&o=,https://www.booking.com/hotel/pk/kalam-rezidor-kalam.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1472323301_418568489_3_0_0&highlighted_blocks=1472323301_418568489_3_0_0&matching_block_id=1472323301_418568489_3_0_0&sr_pri_blocks=1472323301_418568489_3_0_0__315000&from=searchresults
"La Serene Hotel and Resort, Kalam",Kalām,7.5 km from downtown,[],8.7,"PKR 16,100",https://cf.bstatic.com/xdata/images/hotel/square240/590606997.webp?k=c658f58e1294fad349e732ff4ea1c0cccef617d10adeb86a7d6847a023594707&o=,https://www.booking.com/hotel/pk/la-serene-and-resort-by-khan-familia.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1265991601_399278011_2_0_0_602825&highlighted_blocks=1265991601_399278011_2_0_0_602825&matching_block_id=1265991601_399278011_2_0_0_602825&sr_pri_blocks=1265991601_399278011_2_0_0_602825_1610000&from=searchresults
Water vibe hotel,Kalām,4.8 km from downtown,[],8.5,"PKR 10,624",https://cf.bstatic.com/xdata/images/hotel/square240/588181339.webp?k=ef07caf6db8d227124fba95e4b4fd138864d4f0561dc9e127cc0672a8775a1fa&o=,https://www.booking.com/hotel/pk/water-vibe-kalam.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1238405001_395719851_2_1_0&highlighted_blocks=1238405001_395719851_2_1_0&matching_block_id=1238405001_395719851_2_1_0&sr_pri_blocks=1238405001_395719851_2_1_0__1062415&from=searchresults
Water vibe hotel,Kalām,4.8 km from downtown,[],N/A,"PKR 11,192",https://cf.bstatic.com/xdata/images/hotel/square240/710292747.webp?k=3d640f150366506364a43a517f0a664d5e3d9c94b51c8a7e2e2599d294a95c76&o=,https://www.booking.com/hotel/pk/water-vibe-and-resturant-kalam1.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1438664901_415356032_2_1_0&highlighted_blocks=1438664901_415356032_2_1_0&matching_block_id=1438664901_415356032_2_1_0&sr_pri_blocks=1438664901_415356032_2_1_0__1119200&from=searchresults
Galaxy Hotel Kalam,Kalām,6.9 km from downtown,[],9.5,"PKR 6,300",https://cf.bstatic.com/xdata/images/hotel/square240/673656772.webp?k=753881210bdf80bbbe0e129e477c5891d19209f57895c5732a03a16dee74fc8d&o=,https://www.booking.com/hotel/pk/galaxy-kalam.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1399223703_419167203_2_1_0&highlighted_blocks=1399223703_419167203_2_1_0&matching_block_id=1399223703_419167203_2_1_0&sr_pri_blocks=1399223703_419167203_2_1_0__630000&from=searchresults
"Eagle Nest Cottage, Kalam",Kalām,6.8 km from downtown,"['Entire villa', '12 bedrooms', '1 living room', '12 bathrooms', '139 m²']",5.6,"PKR 150,000",https://cf.bstatic.com/xdata/images/hotel/square240/568602910.webp?k=d2b9512d50ee8de7713857b80bd1dfa40fc15d1c43153b635dead73d855cde1d&o=,https://www.booking.com/hotel/pk/eagle-nest-cottage-kalam.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1225361302_396018490_30_1_0&highlighted_blocks=1225361302_396018490_30_1_0&matching_block_id=1225361302_396018490_30_1_0&sr_pri_blocks=1225361302_396018490_30_1_0__15000000&from=searchresults
Maria Hotel and Resorts,Kalām,6.5 km from downtown,[],5.0,"PKR 18,000",https://cf.bstatic.com/xdata/images/hotel/square240/487989499.webp?k=30034121eea43c75fcf18525228753bba07d5fa7294e956880545e11cd85bce5&o=,https://www.booking.com/hotel/pk/maria-and-resorts.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1067674402_393362192_0_1_0&highlighted_blocks=1067674402_393362192_0_1_0&matching_block_id=1067674402_393362192_0_1_0&sr_pri_blocks=1067674402_393362192_0_1_0__1800000&from=searchresults
Forest Valley Cottages Kalam by Khan Familia,Kalām,6.6 km from downtown,[],N/A,"PKR 6,506",https://cf.bstatic.com/xdata/images/hotel/square240/717116081.webp?k=e250af6c48b4f5df97c6e206d48d2dd7c5190e75329e1cf492b301c7cf27e4b4&o=,https://www.booking.com/hotel/pk/baba-rezidor-kalam-by-khan-familia.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9rYWxhbUgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvHj4sUGwAIB0gIkMWQ2M2YyOGUtZTdjYS00NmU4LThkOWUtMmRhYjc3ZDQwNWQx2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=60e396784da20256&srepoch=1756934653&all_sr_blocks=1423251701_413960236_2_41_0_1149988&highlighted_blocks=1423251701_413960236_2_41_0_1149988&matching_block_id=1423251701_413960236_2_41_0_1149988&sr_pri_blocks=1423251701_413960236_2_41_0_1149988_650565&from=searchresults
