Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Eagle's Nest Hotel,Karimabad Hunza,2.3 km from downtown,[],9.2,"PKR 13,400",https://cf.bstatic.com/xdata/images/hotel/square240/685609066.webp?k=4cdf92f33376988a0e566ebfc2f7c6346bee957f864dd83629369063e98c253b&o=,https://www.booking.com/hotel/pk/eagles-nest-hunza-nagar.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9rYXJpbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALg3OLFBsACAdICJGFmZGYyMWE0LTI4OTItNDYzOS05ODBlLWY4NGJhMWI2NTU1NtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=35c994b069e304ab&srepoch=1756933758&all_sr_blocks=1342514804_406634086_2_42_0&highlighted_blocks=1342514804_406634086_2_42_0&matching_block_id=1342514804_406634086_2_42_0&sr_pri_blocks=1342514804_406634086_2_42_0__1340000&from=searchresults
Hunza Backpacker Inn,Karimabad Hunza,300 m from downtown,[],9.3,"PKR 3,500",https://cf.bstatic.com/xdata/images/hotel/square240/691611722.webp?k=01b70ce5fa584ea2db635c5084d8401952137c8ee8225c3da9c2af3c32956514&o=,https://www.booking.com/hotel/pk/hunza-backpacker-inn.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9rYXJpbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALg3OLFBsACAdICJGFmZGYyMWE0LTI4OTItNDYzOS05ODBlLWY4NGJhMWI2NTU1NtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=35c994b069e304ab&srepoch=1756933758&all_sr_blocks=1428566209_414441080_3_2_0&highlighted_blocks=1428566209_414441080_3_2_0&matching_block_id=1428566209_414441080_3_2_0&sr_pri_blocks=1428566209_414441080_3_2_0__350000&from=searchresults
Escape Retreat,Karimabad Hunza,0.7 km from downtown,[],N/A,"PKR 7,500",https://cf.bstatic.com/xdata/images/hotel/square240/737011809.webp?k=fde7e7705eab1e85269f86686835c1d366e48a9c673653c0afedb45ef8e1110c&o=,https://www.booking.com/hotel/pk/escape-retreat.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9rYXJpbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALg3OLFBsACAdICJGFmZGYyMWE0LTI4OTItNDYzOS05ODBlLWY4NGJhMWI2NTU1NtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=35c994b069e304ab&srepoch=1756933758&all_sr_blocks=1482386901_419730344_3_1_0&highlighted_blocks=1482386901_419730344_3_1_0&matching_block_id=1482386901_419730344_3_1_0&sr_pri_blocks=1482386901_419730344_3_1_0__750000&from=searchresults
GreenPak Hotel Hunza,Karimabad Hunza,1.2 km from downtown,[],N/A,"PKR 17,500",https://cf.bstatic.com/xdata/images/hotel/square240/621619535.webp?k=a32b4d374c880a799776773fb7397d007222d34dac2e8fca4118a2dc8374ffc6&o=,https://www.booking.com/hotel/pk/greenpak-hunza.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9rYXJpbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALg3OLFBsACAdICJGFmZGYyMWE0LTI4OTItNDYzOS05ODBlLWY4NGJhMWI2NTU1NtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=35c994b069e304ab&srepoch=1756933758&all_sr_blocks=1319720604_411345188_0_0_0&highlighted_blocks=1319720604_411345188_0_0_0&matching_block_id=1319720604_411345188_0_0_0&sr_pri_blocks=1319720604_411345188_0_0_0__1750000&from=searchresults
Escape Retreat Hunza,Karimabad Hunza,0.8 km from downtown,[],10,"PKR 7,000",https://cf.bstatic.com/xdata/images/hotel/square240/737903165.webp?k=d1a7cba0e07e20095f1610a64683cdda0ed54fc5c0fc4ff233638a56bf24720d&o=,https://www.booking.com/hotel/pk/escape-retreat-hunza.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9rYXJpbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALg3OLFBsACAdICJGFmZGYyMWE0LTI4OTItNDYzOS05ODBlLWY4NGJhMWI2NTU1NtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=35c994b069e304ab&srepoch=1756933759&all_sr_blocks=1482172102_419713739_2_1_0&highlighted_blocks=1482172102_419713739_2_1_0&matching_block_id=1482172102_419713739_2_1_0&sr_pri_blocks=1482172102_419713739_2_1_0__700000&from=searchresults
Hunza Story,Karimabad Hunza,450 m from downtown,[],N/A,"PKR 10,000",https://cf.bstatic.com/xdata/images/hotel/square240/705591921.webp?k=f9cd566e8e2d4ad604b62d5d82d32a177719c289003603b6385cf92de4ff4c81&o=,https://www.booking.com/hotel/pk/hunza-story-hunza-nagar.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9rYXJpbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALg3OLFBsACAdICJGFmZGYyMWE0LTI4OTItNDYzOS05ODBlLWY4NGJhMWI2NTU1NtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=35c994b069e304ab&srepoch=1756933759&all_sr_blocks=1448245501_416221014_2_1_0&highlighted_blocks=1448245501_416221014_2_1_0&matching_block_id=1448245501_416221014_2_1_0&sr_pri_blocks=1448245501_416221014_2_1_0__1000000&from=searchresults
Fortyard Cottages,Karimabad Hunza,300 m from downtown,[],N/A,"PKR 16,500",https://cf.bstatic.com/xdata/images/hotel/square240/728238803.webp?k=d3cf03c7bc9769f6ac9d20286e58036a69647b012ada6684b12bc4c6f6e0ebf6&o=,https://www.booking.com/hotel/pk/fortyard-cottages-karimabad1.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9rYXJpbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALg3OLFBsACAdICJGFmZGYyMWE0LTI4OTItNDYzOS05ODBlLWY4NGJhMWI2NTU1NtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=35c994b069e304ab&srepoch=1756933759&all_sr_blocks=1472693401_418609208_2_1_0&highlighted_blocks=1472693401_418609208_2_1_0&matching_block_id=1472693401_418609208_2_1_0&sr_pri_blocks=1472693401_418609208_2_1_0__1650000&from=searchresults
"Hilltop Hotel, Hunza",Karimabad Hunza,450 m from downtown,[],10,"PKR 16,000",https://cf.bstatic.com/xdata/images/hotel/square240/629767582.webp?k=d38cb2b29708d5f7bc15487d47488cc143db357c43381f7a3ebb07373f9e5bbc&o=,https://www.booking.com/hotel/pk/hilltop-karimabad-hunza.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9rYXJpbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALg3OLFBsACAdICJGFmZGYyMWE0LTI4OTItNDYzOS05ODBlLWY4NGJhMWI2NTU1NtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=35c994b069e304ab&srepoch=1756933759&all_sr_blocks=1304950503_403349357_3_1_0&highlighted_blocks=1304950503_403349357_3_1_0&matching_block_id=1304950503_403349357_3_1_0&sr_pri_blocks=1304950503_403349357_3_1_0__1600000&from=searchresults
Hunza Darbar Hotel,Karimabad Hunza,0.9 km from downtown,[],8.5,"PKR 23,400",https://cf.bstatic.com/xdata/images/hotel/square240/637000056.webp?k=a8e864e456b0b1cc945f82fc27caae21943604b80f3da6f021a0a00390336a8f&o=,https://www.booking.com/hotel/pk/hunza-darbar.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9rYXJpbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALg3OLFBsACAdICJGFmZGYyMWE0LTI4OTItNDYzOS05ODBlLWY4NGJhMWI2NTU1NtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=35c994b069e304ab&srepoch=1756933759&all_sr_blocks=1193128601_391607066_2_41_0&highlighted_blocks=1193128601_391607066_2_41_0&matching_block_id=1193128601_391607066_2_41_0&sr_pri_blocks=1193128601_391607066_2_41_0__2340000&from=searchresults
Ultar House,Karimabad Hunza,0.9 km from downtown,[],10,"PKR 5,850",https://cf.bstatic.com/xdata/images/hotel/square240/722821009.webp?k=30230e363515926f4d0ef18721a2b10e3d6340ac8c20b66119b9e0bc3d6ba895&o=,https://www.booking.com/hotel/pk/ultar-house-karimabad-hunza.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9rYXJpbWFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALg3OLFBsACAdICJGFmZGYyMWE0LTI4OTItNDYzOS05ODBlLWY4NGJhMWI2NTU1NtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=35c994b069e304ab&srepoch=1756933759&all_sr_blocks=1268058401_399522400_2_1_0&highlighted_blocks=1268058401_399522400_2_1_0&matching_block_id=1268058401_399522400_2_1_0&sr_pri_blocks=1268058401_399522400_2_1_0__585000&from=searchresults
