Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Aurum Heights Gateway Prestige Luxury Apartments - Gulberg Lahore,Lahore,3.4 km from downtown,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '1 kitchen', '74 m²']",9.7,"PKR 15,120",https://cf.bstatic.com/xdata/images/hotel/square240/690853586.webp?k=aaf2d28d6d3658a42ea412270ea3643acf9979f63dc4fef82c42de297f1bdfe1&o=,https://www.booking.com/hotel/pk/aurum-heights-gateway-prestige-apartments-gulberg-lahore.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9sYWhvcmVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK04uLFBsACAdICJGRkODE4Yzc1LTdlY2YtNDcwYS1hYmRlLThlZDdmODJkMGM4ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=17e2961a3d1b02f8&srepoch=1756934484&all_sr_blocks=1427120701_414290045_2_1_0_1100102&highlighted_blocks=1427120701_414290045_2_1_0_1100102&matching_block_id=1427120701_414290045_2_1_0_1100102&sr_pri_blocks=1427120701_414290045_2_1_0_1100102_1512000&from=searchresults
Defence Raya Golf & Country Club,Lahore,15 km from downtown,[],8.7,"PKR 30,000",https://cf.bstatic.com/xdata/images/hotel/square240/146007767.webp?k=57cc7666cbf2c69d9880d56f439f12aa3b6be96eafcf7ca3df1002ddb7a22d05&o=,https://www.booking.com/hotel/pk/defence-raya-golf-amp-country-club-lahore1.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9sYWhvcmVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK04uLFBsACAdICJGRkODE4Yzc1LTdlY2YtNDcwYS1hYmRlLThlZDdmODJkMGM4ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=17e2961a3d1b02f8&srepoch=1756934484&all_sr_blocks=358752702_402338995_2_41_0_423992&highlighted_blocks=358752702_402338995_2_41_0_423992&matching_block_id=358752702_402338995_2_41_0_423992&sr_pri_blocks=358752702_402338995_2_41_0_423992_3000000&from=searchresults
House in lahore,Lahore,19.7 km from downtown,"['Entire vacation home', '2 bedrooms', '2 bathrooms', '1 kitchen', '56 m²']",9.0,"PKR 5,985",https://cf.bstatic.com/xdata/images/hotel/square240/551565733.webp?k=d4a8ff9b0ddbff14561ac9a141c87e78a94ef5501db852437fb1cc347df210ac&o=,https://www.booking.com/hotel/pk/2-bed-studio-apartment.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9sYWhvcmVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK04uLFBsACAdICJGRkODE4Yzc1LTdlY2YtNDcwYS1hYmRlLThlZDdmODJkMGM4ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=17e2961a3d1b02f8&srepoch=1756934484&all_sr_blocks=932838901_365382479_4_0_0&highlighted_blocks=932838901_365382479_4_0_0&matching_block_id=932838901_365382479_4_0_0&sr_pri_blocks=932838901_365382479_4_0_0__598500&from=searchresults
Luxury comfort home,"Johar Town, Lahore",12.4 km from downtown,"['Entire vacation home', '1 bedroom', '1 bathroom']",N/A,"PKR 15,000",https://cf.bstatic.com/xdata/images/hotel/square240/733859912.webp?k=6f8ddcfb1ec9cff11ce115942c7daadd3fb5713048fab4292c3dd600eb9965f6&o=,https://www.booking.com/hotel/pk/luxury-comfort-home.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9sYWhvcmVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK04uLFBsACAdICJGRkODE4Yzc1LTdlY2YtNDcwYS1hYmRlLThlZDdmODJkMGM4ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=17e2961a3d1b02f8&srepoch=1756934484&all_sr_blocks=1478860101_419356402_2_0_0&highlighted_blocks=1478860101_419356402_2_0_0&matching_block_id=1478860101_419356402_2_0_0&sr_pri_blocks=1478860101_419356402_2_0_0__1500000&from=searchresults
"Spacious 3 Bedroom Furnished Family Home near Valencia Town, Lake City & Ring Road",Lahore,20 km from downtown,"['Entire vacation home', '3 bedrooms', '1 living room', '3 bathrooms', '1 kitchen', '209 m²']",8.7,"PKR 12,529",https://cf.bstatic.com/xdata/images/hotel/square240/498125304.webp?k=af4f6c664e570c0d5dfc3c0ebc42e475d3d60d3be661db00f6553ec5ff26010b&o=,https://www.booking.com/hotel/pk/3-bedrooms-fully-serviced-house.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9sYWhvcmVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK04uLFBsACAdICJGRkODE4Yzc1LTdlY2YtNDcwYS1hYmRlLThlZDdmODJkMGM4ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=17e2961a3d1b02f8&srepoch=1756934484&all_sr_blocks=1055004701_384828039_5_0_0_1168907&highlighted_blocks=1055004701_384828039_5_0_0_1168907&matching_block_id=1055004701_384828039_5_0_0_1168907&sr_pri_blocks=1055004701_384828039_5_0_0_1168907_1252886&from=searchresults
Luxus Gold Villa DHA Near Airport & Raya,Lahore,17.5 km from downtown,[],8.8,"PKR 5,950",https://cf.bstatic.com/xdata/images/hotel/square240/639096128.webp?k=e0a84bc228813b20781620349ca2c860cf2c073f49c6d4ae1f3a4704fd82bc04&o=,https://www.booking.com/hotel/pk/luxus-gold-villa-dha-near-airport-amp-raya.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9sYWhvcmVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK04uLFBsACAdICJGRkODE4Yzc1LTdlY2YtNDcwYS1hYmRlLThlZDdmODJkMGM4ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=17e2961a3d1b02f8&srepoch=1756934484&all_sr_blocks=1345217001_406877333_2_1_0&highlighted_blocks=1345217001_406877333_2_1_0&matching_block_id=1345217001_406877333_2_1_0&sr_pri_blocks=1345217001_406877333_2_1_0__595000&from=searchresults
"Rose Palace Hotel, Liberty","Gulberg, Lahore",5.3 km from downtown,[],7.5,"PKR 3,825",https://cf.bstatic.com/xdata/images/hotel/square240/642727054.webp?k=142f4ad85619da38ab0e7a5a6a2fecea657d5971d0de83e6f4d9306a7d989ac1&o=,https://www.booking.com/hotel/pk/the-palace.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9sYWhvcmVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK04uLFBsACAdICJGRkODE4Yzc1LTdlY2YtNDcwYS1hYmRlLThlZDdmODJkMGM4ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=17e2961a3d1b02f8&srepoch=1756934484&all_sr_blocks=681761002_414075576_0_2_0&highlighted_blocks=681761002_414075576_0_2_0&matching_block_id=681761002_414075576_0_2_0&sr_pri_blocks=681761002_414075576_0_2_0__382500&from=searchresults
Shelton Boulevard Hotel Lahore,"Johar Town, Lahore",12.7 km from downtown,[],7.8,"PKR 6,500",https://cf.bstatic.com/xdata/images/hotel/square240/525078321.webp?k=6eda21b4588ae9a7bcc4a8d27d8afa3aba04c650641dfb645bf553986033c77e&o=,https://www.booking.com/hotel/pk/rk-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9sYWhvcmVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK04uLFBsACAdICJGRkODE4Yzc1LTdlY2YtNDcwYS1hYmRlLThlZDdmODJkMGM4ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=17e2961a3d1b02f8&srepoch=1756934484&all_sr_blocks=1047737913_391655218_2_1_0_290433&highlighted_blocks=1047737913_391655218_2_1_0_290433&matching_block_id=1047737913_391655218_2_1_0_290433&sr_pri_blocks=1047737913_391655218_2_1_0_290433_650000&from=searchresults
Gulberg Inn Hotel Lahore,"Gulberg, Lahore",7.4 km from downtown,[],7.2,"PKR 8,114",https://cf.bstatic.com/xdata/images/hotel/square240/623157507.webp?k=796ac5d42ef35c9c3cf6fd747f127d020106524890fafcc7ae704f7941c4fd94&o=,https://www.booking.com/hotel/pk/gulberg-inn-lahore.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9sYWhvcmVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK04uLFBsACAdICJGRkODE4Yzc1LTdlY2YtNDcwYS1hYmRlLThlZDdmODJkMGM4ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=17e2961a3d1b02f8&srepoch=1756934484&all_sr_blocks=1317641601_404492666_2_1_0_767123&highlighted_blocks=1317641601_404492666_2_1_0_767123&matching_block_id=1317641601_404492666_2_1_0_767123&sr_pri_blocks=1317641601_404492666_2_1_0_767123_811440&from=searchresults
Royal Villa's DHA,Lahore,17.5 km from downtown,[],8.1,"PKR 6,000",https://cf.bstatic.com/xdata/images/hotel/square240/637340430.webp?k=bdc6d2c63e7f30051b16a31856cc23a7936ad01d19c5b24fe33f3e8b7a87fcc2&o=,https://www.booking.com/hotel/pk/royal-villas-dha.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9sYWhvcmVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK04uLFBsACAdICJGRkODE4Yzc1LTdlY2YtNDcwYS1hYmRlLThlZDdmODJkMGM4ZNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=17e2961a3d1b02f8&srepoch=1756934484&all_sr_blocks=1342166401_406613373_2_0_0&highlighted_blocks=1342166401_406613373_2_0_0&matching_block_id=1342166401_406613373_2_0_0&sr_pri_blocks=1342166401_406613373_2_0_0__600000&from=searchresults
