Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
LOKAL Rooms x Murree Kashmir Point,Murree,1.2 km from downtown,[],7.8,"PKR 16,379",https://cf.bstatic.com/xdata/images/hotel/square240/456728298.webp?k=74aab8484724d8035a824ef8426e7921226b7d5c80cf029303dd411d2d446f2d&o=,https://www.booking.com/hotel/pk/mountain-tower-murree.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdXJyZWVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKI2OLFBsACAdICJDI5MzUzOWFkLWY0MzItNDU5OC05ODUxLWRmYmZkMmE3ODlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=03ce9384620300e4&srepoch=1756933154&all_sr_blocks=743579601_329595674_2_1_0&highlighted_blocks=743579601_329595674_2_1_0&matching_block_id=743579601_329595674_2_1_0&sr_pri_blocks=743579601_329595674_2_1_0__1637937&from=searchresults
"The Roomy Lodge, Murree",Murree,2.7 km from downtown,[],8.5,"PKR 17,600",https://cf.bstatic.com/xdata/images/hotel/square240/366130298.webp?k=42f18ee0b091e7857d0a3460e9f8ff2e7347e7b3f9e40678bebacbfe1226adbf&o=,https://www.booking.com/hotel/pk/the-roomy-lodge.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdXJyZWVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKI2OLFBsACAdICJDI5MzUzOWFkLWY0MzItNDU5OC05ODUxLWRmYmZkMmE3ODlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=03ce9384620300e4&srepoch=1756933154&all_sr_blocks=735566404_376149032_2_1_0_1078002&highlighted_blocks=735566404_376149032_2_1_0_1078002&matching_block_id=735566404_376149032_2_1_0_1078002&sr_pri_blocks=735566404_376149032_2_1_0_1078002_1760000&from=searchresults
Maisonette Firhill Hotel & Resort,Murree,1.9 km from downtown,"['Private suite', '1 bedroom', '1 living room', '1 bathroom', '16 m²']",8.6,"PKR 18,400",https://cf.bstatic.com/xdata/images/hotel/square240/485801499.webp?k=b3daac58945b06102ec32cb0cece8c2e93670449ec21c35adeaa770be1e9130e&o=,https://www.booking.com/hotel/pk/maisonette-firhill-villas.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdXJyZWVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKI2OLFBsACAdICJDI5MzUzOWFkLWY0MzItNDU5OC05ODUxLWRmYmZkMmE3ODlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=03ce9384620300e4&srepoch=1756933154&all_sr_blocks=399658401_373303801_2_41_0&highlighted_blocks=399658401_373303801_2_41_0&matching_block_id=399658401_373303801_2_41_0&sr_pri_blocks=399658401_373303801_2_41_0__1840000&from=searchresults
GrandTaj,Murree,300 m from downtown,[],8.2,"PKR 5,031",https://cf.bstatic.com/xdata/images/hotel/square240/659124998.webp?k=7c45ccc56161b8ed322b40cc15299ccbecdbadbb96cf199feb878ea6b04d93bc&o=,https://www.booking.com/hotel/pk/five-star-murree.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdXJyZWVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKI2OLFBsACAdICJDI5MzUzOWFkLWY0MzItNDU5OC05ODUxLWRmYmZkMmE3ODlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=03ce9384620300e4&srepoch=1756933154&all_sr_blocks=1378395201_409958253_2_1_0&highlighted_blocks=1378395201_409958253_2_1_0&matching_block_id=1378395201_409958253_2_1_0&sr_pri_blocks=1378395201_409958253_2_1_0__503100&from=searchresults
Hotel Summer Palace Murree,Murree,200 m from downtown,[],8.4,"PKR 7,500",https://cf.bstatic.com/xdata/images/hotel/square240/632196866.webp?k=c2a15536407916554f8b8b107243311f697472a5e01b12825350cc84baf2644a&o=,https://www.booking.com/hotel/pk/summer-palace-murree-rawalpindi.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdXJyZWVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKI2OLFBsACAdICJDI5MzUzOWFkLWY0MzItNDU5OC05ODUxLWRmYmZkMmE3ODlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=03ce9384620300e4&srepoch=1756933154&all_sr_blocks=1310110901_403789625_0_1_0_744466&highlighted_blocks=1310110901_403789625_0_1_0_744466&matching_block_id=1310110901_403789625_0_1_0_744466&sr_pri_blocks=1310110901_403789625_0_1_0_744466_750000&from=searchresults
Malika Kohsar Hotel Murree,Murree,0.5 km from downtown,[],6.3,"PKR 1,446",https://cf.bstatic.com/xdata/images/hotel/square240/735785061.webp?k=b4d1295861f839c4ecf8b4d95e517cd363c4285e45814b8a6dd9f731031cd30f&o=,https://www.booking.com/hotel/pk/malika-kohsar-murree.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdXJyZWVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKI2OLFBsACAdICJDI5MzUzOWFkLWY0MzItNDU5OC05ODUxLWRmYmZkMmE3ODlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=03ce9384620300e4&srepoch=1756933154&all_sr_blocks=1256294001_398881068_2_42_0&highlighted_blocks=1256294001_398881068_2_42_0&matching_block_id=1256294001_398881068_2_42_0&sr_pri_blocks=1256294001_398881068_2_42_0__144585&from=searchresults
Country Homes Murree by Safari Club Bahria Town,Murree,2.2 km from downtown,[],8.7,"PKR 10,000",https://cf.bstatic.com/xdata/images/hotel/square240/593537268.webp?k=4cc6c752827ec1a4c7c47e2e3e9bcb201a226c315f894db56ffbe079f7041eee&o=,https://www.booking.com/hotel/pk/country-homes-murree-by-safari-club-bahria-town.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdXJyZWVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKI2OLFBsACAdICJDI5MzUzOWFkLWY0MzItNDU5OC05ODUxLWRmYmZkMmE3ODlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=03ce9384620300e4&srepoch=1756933154&all_sr_blocks=1273119601_400113399_2_2_0&highlighted_blocks=1273119601_400113399_2_2_0&matching_block_id=1273119601_400113399_2_2_0&sr_pri_blocks=1273119601_400113399_2_2_0__1000000&from=searchresults
Malika Kohsar Hotel Murree,Murree,0.5 km from downtown,[],5.8,"PKR 1,134",https://cf.bstatic.com/xdata/images/hotel/square240/735790773.webp?k=667d598367a299707772425d1daa1dcc19492ead0ca937927c8ae23017e52e9d&o=,https://www.booking.com/hotel/pk/malika-kohsar-murree-murree1.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdXJyZWVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKI2OLFBsACAdICJDI5MzUzOWFkLWY0MzItNDU5OC05ODUxLWRmYmZkMmE3ODlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=03ce9384620300e4&srepoch=1756933154&all_sr_blocks=1257612102_398365490_0_42_0&highlighted_blocks=1257612102_398365490_0_42_0&matching_block_id=1257612102_398365490_0_42_0&sr_pri_blocks=1257612102_398365490_0_42_0__113400&from=searchresults
"VivaPines, Murree",Murree,1.2 km from downtown,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '1 kitchen', '56 m²']",7.6,"PKR 17,900",https://cf.bstatic.com/xdata/images/hotel/square240/409756670.webp?k=f7aa92f3ea4e2c991603954076e3c0187c179ada7ebd33e62489405eed9ced75&o=,https://www.booking.com/hotel/pk/vivapines.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdXJyZWVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKI2OLFBsACAdICJDI5MzUzOWFkLWY0MzItNDU5OC05ODUxLWRmYmZkMmE3ODlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=03ce9384620300e4&srepoch=1756933154&all_sr_blocks=920867902_417550300_2_1_0&highlighted_blocks=920867902_417550300_2_1_0&matching_block_id=920867902_417550300_2_1_0&sr_pri_blocks=920867902_417550300_2_1_0__1790000&from=searchresults
Destination Hotel Murree,Murree,350 m from downtown,[],8.3,"PKR 12,780",https://cf.bstatic.com/xdata/images/hotel/square240/676454630.webp?k=6ce4224151bb0cd2d5b48fd42329a9d2d859b27f2c924df62bf53f75ffed772c&o=,https://www.booking.com/hotel/pk/destination-murree.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9tdXJyZWVIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKI2OLFBsACAdICJDI5MzUzOWFkLWY0MzItNDU5OC05ODUxLWRmYmZkMmE3ODlmNtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=03ce9384620300e4&srepoch=1756933154&all_sr_blocks=1240219910_395932230_2_1_0&highlighted_blocks=1240219910_395932230_2_1_0&matching_block_id=1240219910_395932230_2_1_0&sr_pri_blocks=1240219910_395932230_2_1_0__1278000&from=searchresults
