Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
"Pearl Continental Hotel, Muzaffarabad",Muzaffarabad,2 km from downtown,[],8.4,"PKR 28,175",https://cf.bstatic.com/xdata/images/hotel/square240/634351582.webp?k=08271ac1009fbed0ff6ff838f764b92382e02650615fce06f80a885ebc393c31&o=,https://www.booking.com/hotel/pk/pearl-continental-azad-kashmir.html?aid=304142&label=gen173nr-10CAQoggJCE3NlYXJjaF9tdXphZmZhcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALw5OLFBsACAdICJDA5MDI2YjQ2LTFkMDAtNDk0ZC04YThkLTdiNmYzZGE1M2EzYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a3d496b8d056021b&srepoch=1756934785&all_sr_blocks=41528415_403726451_0_1_0&highlighted_blocks=41528415_403726451_0_1_0&matching_block_id=41528415_403726451_0_1_0&sr_pri_blocks=41528415_403726451_0_1_0__10000&from=searchresults
Srinagar Homes,Muzaffarabad,1.4 km from downtown,[],9.4,"PKR 8,450",https://cf.bstatic.com/xdata/images/hotel/square240/337018766.webp?k=758fd0d73cba7fbc08d51af2ab04260e4b13633b7a721f954beda48e688cecf8&o=,https://www.booking.com/hotel/pk/srinagar-homes.html?aid=304142&label=gen173nr-10CAQoggJCE3NlYXJjaF9tdXphZmZhcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALw5OLFBsACAdICJDA5MDI2YjQ2LTFkMDAtNDk0ZC04YThkLTdiNmYzZGE1M2EzYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=a3d496b8d056021b&srepoch=1756934785&all_sr_blocks=769063502_334770315_2_2_0&highlighted_blocks=769063502_334770315_2_2_0&matching_block_id=769063502_334770315_2_2_0&sr_pri_blocks=769063502_334770315_2_2_0__845000&from=searchresults
Shalimar Hotel,Muzaffarabad,450 m from downtown,[],7.7,"PKR 4,000",https://cf.bstatic.com/xdata/images/hotel/square240/676111633.webp?k=f655af8066074a4ce2a8c8f5d63742a39eebec8db7eb8c4d8f1a9b1e8f39bd8a&o=,https://www.booking.com/hotel/pk/shalimar-muzaffarabad2.html?aid=304142&label=gen173nr-10CAQoggJCE3NlYXJjaF9tdXphZmZhcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALw5OLFBsACAdICJDA5MDI2YjQ2LTFkMDAtNDk0ZC04YThkLTdiNmYzZGE1M2EzYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=a3d496b8d056021b&srepoch=1756934785&all_sr_blocks=1403255402_412144468_2_2_0&highlighted_blocks=1403255402_412144468_2_2_0&matching_block_id=1403255402_412144468_2_2_0&sr_pri_blocks=1403255402_412144468_2_2_0__400000&from=searchresults
Muzaffarabad View Motel,Muzaffarabad,1.9 km from downtown,[],7.0,"PKR 5,500",https://cf.bstatic.com/xdata/images/hotel/square240/440931625.webp?k=4bb76e741633032aa55a34d25beec9f354bcaa83645bc482b943d1379356b4a6&o=,https://www.booking.com/hotel/pk/muzaffarabad-view-motel-muzaffarabad.html?aid=304142&label=gen173nr-10CAQoggJCE3NlYXJjaF9tdXphZmZhcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALw5OLFBsACAdICJDA5MDI2YjQ2LTFkMDAtNDk0ZC04YThkLTdiNmYzZGE1M2EzYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=a3d496b8d056021b&srepoch=1756934785&all_sr_blocks=274229509_352145898_0_2_0&highlighted_blocks=274229509_352145898_0_2_0&matching_block_id=274229509_352145898_0_2_0&sr_pri_blocks=274229509_352145898_0_2_0__550000&from=searchresults
The lodge Guest House,Muzaffarabad,1.6 km from downtown,[],8.0,"PKR 3,999",https://cf.bstatic.com/xdata/images/hotel/square240/728244322.webp?k=cb4a536e64d537db90100479fa04154aeaafb658800ace7008f323f9601e7172&o=,https://www.booking.com/hotel/pk/the-lodge-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCE3NlYXJjaF9tdXphZmZhcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALw5OLFBsACAdICJDA5MDI2YjQ2LTFkMDAtNDk0ZC04YThkLTdiNmYzZGE1M2EzYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=a3d496b8d056021b&srepoch=1756934785&all_sr_blocks=1472705902_418610037_4_2_0&highlighted_blocks=1472705902_418610037_4_2_0&matching_block_id=1472705902_418610037_4_2_0&sr_pri_blocks=1472705902_418610037_4_2_0__399900&from=searchresults
Paradise Lodges Muzaffarabad,Muzaffarabad,2.4 km from downtown,[],1.0,"PKR 3,600",https://cf.bstatic.com/xdata/images/hotel/square240/630040888.webp?k=f7958edaa711a6046cec4fd165cbe7ab29a1f6511421d16cacaa945fb98a5d23&o=,https://www.booking.com/hotel/pk/paradise-lodges-muzaffarabad-azad-kashmir.html?aid=304142&label=gen173nr-10CAQoggJCE3NlYXJjaF9tdXphZmZhcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALw5OLFBsACAdICJDA5MDI2YjQ2LTFkMDAtNDk0ZC04YThkLTdiNmYzZGE1M2EzYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=a3d496b8d056021b&srepoch=1756934785&all_sr_blocks=1332425301_405755310_2_2_0&highlighted_blocks=1332425301_405755310_2_2_0&matching_block_id=1332425301_405755310_2_2_0&sr_pri_blocks=1332425301_405755310_2_2_0__360000&from=searchresults
Mir Continental Hotel & Restaurant,Muzaffarabad,1.6 km from downtown,[],7.7,"PKR 6,500",https://cf.bstatic.com/xdata/images/hotel/square240/516866038.webp?k=5c67b7ead93f7161a823d70f7168c346e105520de80e177eea5b977f4576936a&o=,https://www.booking.com/hotel/pk/mir-continental-amp-restaurant.html?aid=304142&label=gen173nr-10CAQoggJCE3NlYXJjaF9tdXphZmZhcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALw5OLFBsACAdICJDA5MDI2YjQ2LTFkMDAtNDk0ZC04YThkLTdiNmYzZGE1M2EzYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=a3d496b8d056021b&srepoch=1756934785&all_sr_blocks=1130424802_385691253_2_42_0&highlighted_blocks=1130424802_385691253_2_42_0&matching_block_id=1130424802_385691253_2_42_0&sr_pri_blocks=1130424802_385691253_2_42_0__650000&from=searchresults
"The Mountain Retreat, Muzaffarabad - Families Only",Muzaffarabad,9 km from downtown,"['Entire vacation home', '3 bedrooms', '1 living room', '2 bathrooms', '1 kitchen', '446 m²']",9.6,"PKR 24,000",https://cf.bstatic.com/xdata/images/hotel/square240/707404221.webp?k=3177da51eab024eef7679367288f788a017779dd7385bca45c1d49bfc70fef51&o=,https://www.booking.com/hotel/pk/the-mountain-retreat-muzaffarabad.html?aid=304142&label=gen173nr-10CAQoggJCE3NlYXJjaF9tdXphZmZhcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALw5OLFBsACAdICJDA5MDI2YjQ2LTFkMDAtNDk0ZC04YThkLTdiNmYzZGE1M2EzYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=a3d496b8d056021b&srepoch=1756934785&all_sr_blocks=1198741201_402441129_10_2_0&highlighted_blocks=1198741201_402441129_10_2_0&matching_block_id=1198741201_402441129_10_2_0&sr_pri_blocks=1198741201_402441129_10_2_0__2400000&from=searchresults
Munawar Residence,Muzaffarabad,1.9 km from downtown,"['Entire apartment', '1 bedroom', '1 bathroom', '51 m²']",N/A,"PKR 12,000",https://cf.bstatic.com/xdata/images/hotel/square240/736448219.webp?k=b761c87cc3630fada2c2d83ff46ea9bbd6c5d377ed2549a76dfb6e4289683667&o=,https://www.booking.com/hotel/pk/munawar-residence-muzaffarabad3.html?aid=304142&label=gen173nr-10CAQoggJCE3NlYXJjaF9tdXphZmZhcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALw5OLFBsACAdICJDA5MDI2YjQ2LTFkMDAtNDk0ZC04YThkLTdiNmYzZGE1M2EzYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=a3d496b8d056021b&srepoch=1756934785&all_sr_blocks=1481705401_419666035_3_2_0&highlighted_blocks=1481705401_419666035_3_2_0&matching_block_id=1481705401_419666035_3_2_0&sr_pri_blocks=1481705401_419666035_3_2_0__1200000&from=searchresults
New Kashmir Heaven,Muzaffarabad,350 m from downtown,[],8.0,"PKR 6,349",https://cf.bstatic.com/xdata/images/hotel/square240/671271715.webp?k=834b32f323e1d5d9f983770936bac0a95eed65c61ab7ab8713fecf6c4d3a491d&o=,https://www.booking.com/hotel/pk/new-kashmir-heaven.html?aid=304142&label=gen173nr-10CAQoggJCE3NlYXJjaF9tdXphZmZhcmFiYWRIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALw5OLFBsACAdICJDA5MDI2YjQ2LTFkMDAtNDk0ZC04YThkLTdiNmYzZGE1M2EzYtgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=a3d496b8d056021b&srepoch=1756934785&all_sr_blocks=1394879002_415862742_4_2_0&highlighted_blocks=1394879002_415862742_4_2_0&matching_block_id=1394879002_415862742_4_2_0&sr_pri_blocks=1394879002_415862742_4_2_0__634900&from=searchresults
