Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Hotel Dream Palace,Naran,0.6 km from downtown,[],8.8,"PKR 7,695",https://cf.bstatic.com/xdata/images/hotel/square240/707336263.webp?k=55b0f8627d3b56b1180fb4cda24f1da8fdcc2e69a55d3f65f4da23b1bfb1e41c&o=,https://www.booking.com/hotel/pk/dream-palace-naran2.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9uYXJhbkgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Atna4sUGwAIB0gIkZjY3MGNmZTgtNmVhNC00ZjcwLWI5MGQtYTlkZjEwZjBhMmZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2b22942c5cde02df&srepoch=1756933489&all_sr_blocks=1439634002_415435359_2_2_0&highlighted_blocks=1439634002_415435359_2_2_0&matching_block_id=1439634002_415435359_2_2_0&sr_pri_blocks=1439634002_415435359_2_2_0__769500&from=searchresults
Bela Resorts Naran,Naran,12.1 km from downtown,[],7.2,"PKR 6,750",https://cf.bstatic.com/xdata/images/hotel/square240/693825535.webp?k=a31d47edff58717f3884bbb9df35df764e4b7a2b081a3c41607b06da7178d09e&o=,https://www.booking.com/hotel/pk/baila-lodge-naran.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9uYXJhbkgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Atna4sUGwAIB0gIkZjY3MGNmZTgtNmVhNC00ZjcwLWI5MGQtYTlkZjEwZjBhMmZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2b22942c5cde02df&srepoch=1756933489&all_sr_blocks=851702104_355444621_3_0_0&highlighted_blocks=851702104_355444621_3_0_0&matching_block_id=851702104_355444621_3_0_0&sr_pri_blocks=851702104_355444621_3_0_0__675000&from=searchresults
Eagle Resorts,Naran,1.7 km from downtown,[],3.0,"PKR 8,075",https://cf.bstatic.com/xdata/images/hotel/square240/715410708.webp?k=084a7441c96bb9374831bfaa3de0786ad492bed89b6a717f6b3e1180725d3fc0&o=,https://www.booking.com/hotel/pk/eagle-resorts.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9uYXJhbkgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Atna4sUGwAIB0gIkZjY3MGNmZTgtNmVhNC00ZjcwLWI5MGQtYTlkZjEwZjBhMmZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2b22942c5cde02df&srepoch=1756933489&all_sr_blocks=1458800501_417196588_2_0_0&highlighted_blocks=1458800501_417196588_2_0_0&matching_block_id=1458800501_417196588_2_0_0&sr_pri_blocks=1458800501_417196588_2_0_0__807500&from=searchresults
Parhena Cottages Bella Naran,Naran,12 km from downtown,[],7.0,"PKR 6,299",https://cf.bstatic.com/xdata/images/hotel/square240/375134475.webp?k=5b140e8ceaf20819d49a46a18d7549e9d8775bcef17dbf2a01d8217e816a3453&o=,https://www.booking.com/hotel/pk/parhena-cottages-bella-naran.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9uYXJhbkgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Atna4sUGwAIB0gIkZjY3MGNmZTgtNmVhNC00ZjcwLWI5MGQtYTlkZjEwZjBhMmZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2b22942c5cde02df&srepoch=1756933489&all_sr_blocks=761062401_333267467_2_1_0&highlighted_blocks=761062401_333267467_2_1_0&matching_block_id=761062401_333267467_2_1_0&sr_pri_blocks=761062401_333267467_2_1_0__629910&from=searchresults
The Barcelo Hotel Apartments,Naran,1.4 km from downtown,"['Entire apartment', '2 bedrooms', '1 living room', '2 bathrooms', '715 m²']",8.5,"PKR 30,599",https://cf.bstatic.com/xdata/images/hotel/square240/563044169.webp?k=45825747e76206b612bf05ecc16e227f923dc81bfb07815b1c069144c9c91119&o=,https://www.booking.com/hotel/pk/the-barcelo-apartments.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9uYXJhbkgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Atna4sUGwAIB0gIkZjY3MGNmZTgtNmVhNC00ZjcwLWI5MGQtYTlkZjEwZjBhMmZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2b22942c5cde02df&srepoch=1756933489&all_sr_blocks=1216216401_393800397_7_1_0&highlighted_blocks=1216216401_393800397_7_1_0&matching_block_id=1216216401_393800397_7_1_0&sr_pri_blocks=1216216401_393800397_7_1_0__3059910&from=searchresults
Serene Resorts Naran,Naran,0.7 km from downtown,[],10,"PKR 22,610",https://cf.bstatic.com/xdata/images/hotel/square240/703159310.webp?k=8f227173fe1992ebfdbc0e8c601317a595f99a8b9b8307c9a1d7c261b625065a&o=,https://www.booking.com/hotel/pk/serene-resorts-naran.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9uYXJhbkgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Atna4sUGwAIB0gIkZjY3MGNmZTgtNmVhNC00ZjcwLWI5MGQtYTlkZjEwZjBhMmZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2b22942c5cde02df&srepoch=1756933489&all_sr_blocks=1445404702_416128093_2_1_0&highlighted_blocks=1445404702_416128093_2_1_0&matching_block_id=1445404702_416128093_2_1_0&sr_pri_blocks=1445404702_416128093_2_1_0__2261000&from=searchresults
Bono Riverside Apartments,Naran,14.5 km from downtown,"['Entire apartment', '2 bedrooms', '2 bathrooms', '450 m²']",6.8,"PKR 7,480",https://cf.bstatic.com/xdata/images/hotel/square240/665625563.webp?k=2b7e2eeb4efc30b63d7d18167dc12a4e52d1c7819ec69f829a5521c320557d93&o=,https://www.booking.com/hotel/pk/bono-apartments-naran.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9uYXJhbkgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Atna4sUGwAIB0gIkZjY3MGNmZTgtNmVhNC00ZjcwLWI5MGQtYTlkZjEwZjBhMmZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2b22942c5cde02df&srepoch=1756933489&all_sr_blocks=1386102903_410623718_2_42_0&highlighted_blocks=1386102903_410623718_2_42_0&matching_block_id=1386102903_410623718_2_42_0&sr_pri_blocks=1386102903_410623718_2_42_0__748000&from=searchresults
Bono Apartments,Naran,14.5 km from downtown,"['Entire apartment', '2 bedrooms', '3 bathrooms', '56 m²']",8.3,"PKR 9,450",https://cf.bstatic.com/xdata/images/hotel/square240/659979699.webp?k=04e3960192cb700b7a64a1d557d32f814338ae6ddd658fe58cfe69dc96a391f4&o=,https://www.booking.com/hotel/pk/bono-apartments.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9uYXJhbkgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Atna4sUGwAIB0gIkZjY3MGNmZTgtNmVhNC00ZjcwLWI5MGQtYTlkZjEwZjBhMmZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2b22942c5cde02df&srepoch=1756933489&all_sr_blocks=1379431501_410067193_3_2_0&highlighted_blocks=1379431501_410067193_3_2_0&matching_block_id=1379431501_410067193_3_2_0&sr_pri_blocks=1379431501_410067193_3_2_0__945000&from=searchresults
River Garden Hotel and Resort,Naran,14.8 km from downtown,[],7.2,"PKR 7,120",https://cf.bstatic.com/xdata/images/hotel/square240/455149187.webp?k=afdca3fceace8bdbb1bead172e7760df00def40895df3a4c184363b5d0b3a125&o=,https://www.booking.com/hotel/pk/river-garden-and-resort.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9uYXJhbkgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Atna4sUGwAIB0gIkZjY3MGNmZTgtNmVhNC00ZjcwLWI5MGQtYTlkZjEwZjBhMmZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2b22942c5cde02df&srepoch=1756933489&all_sr_blocks=994514401_392754138_0_42_0&highlighted_blocks=994514401_392754138_0_42_0&matching_block_id=994514401_392754138_0_42_0&sr_pri_blocks=994514401_392754138_0_42_0__712000&from=searchresults
Jovial Gold Naran,Naran,250 m from downtown,[],8.0,"PKR 14,000",https://cf.bstatic.com/xdata/images/hotel/square240/471712142.webp?k=58a1ca8571c03ae0d3e2d200f21d135d28f239f0829676d714e9f1978921bf2a&o=,https://www.booking.com/hotel/pk/jumeirah-naran.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9uYXJhbkgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Atna4sUGwAIB0gIkZjY3MGNmZTgtNmVhNC00ZjcwLWI5MGQtYTlkZjEwZjBhMmZk2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2b22942c5cde02df&srepoch=1756933489&all_sr_blocks=857318401_356539335_0_1_0&highlighted_blocks=857318401_356539335_0_1_0&matching_block_id=857318401_356539335_0_1_0&sr_pri_blocks=857318401_356539335_0_1_0__1400000&from=searchresults
