Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Neelum Valley Hotel,Shardi,N/A,[],N/A,N/A,https://cf.bstatic.com/xdata/images/hotel/square240/253660542.webp?k=179637a380778e599b835ebce87ebb25803053d231894072e3a062a74d27cef2&o=,https://www.booking.com/hotel/pk/neelum-valley-hotels.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9uZWVsdW0gdmFsbGV5SDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoeXixQbAAgHSAiQ3YmEzZTFiMC1lNzI4LTRhNzMtOGRjZS03ODQ5NWJiYThlMDTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=60e396d01ccc06ad&srepoch=1756934828&soh=1&from=searchresults#no_availability_msg
Wyndham Heritage Hotel & Resort Sharda,Shardi,N/A,[],9.7,"PKR 6,300",https://cf.bstatic.com/xdata/images/hotel/square240/602018285.webp?k=3e08482fdedfef5ddd17c60cab3ee305b7efb3138050811105c746215d39fa93&o=,https://www.booking.com/hotel/pk/wyndham-heritage-amp-resort-sharda.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9uZWVsdW0gdmFsbGV5SDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoeXixQbAAgHSAiQ3YmEzZTFiMC1lNzI4LTRhNzMtOGRjZS03ODQ5NWJiYThlMDTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=60e396d01ccc06ad&srepoch=1756934828&all_sr_blocks=1289006401_401845504_2_0_0&highlighted_blocks=1289006401_401845504_2_0_0&matching_block_id=1289006401_401845504_2_0_0&sr_pri_blocks=1289006401_401845504_2_0_0__630000&from=searchresults
Wanderlust Chapter 1,Arangkēl,N/A,[],6.6,"PKR 11,000",https://cf.bstatic.com/xdata/images/hotel/square240/489611810.webp?k=25f62f36963e11b8f3d35ad378a476d9103a7b3035d07b0632715a2087ed27de&o=,https://www.booking.com/hotel/pk/wanderlust-chapter-1.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9uZWVsdW0gdmFsbGV5SDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoeXixQbAAgHSAiQ3YmEzZTFiMC1lNzI4LTRhNzMtOGRjZS03ODQ5NWJiYThlMDTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=60e396d01ccc06ad&srepoch=1756934828&all_sr_blocks=877445701_418987657_2_1_0&highlighted_blocks=877445701_418987657_2_1_0&matching_block_id=877445701_418987657_2_1_0&sr_pri_blocks=877445701_418987657_2_1_0__1100000&from=searchresults
Riverside Challets Sharda,Shardi,N/A,[],10,"PKR 25,500",https://cf.bstatic.com/xdata/images/hotel/square240/726902850.webp?k=832108029bb48b9aba9f8a804717afd4e868a9d80d7fab7027bbc73b7d21ac8d&o=,https://www.booking.com/hotel/pk/roameo-resort.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9uZWVsdW0gdmFsbGV5SDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoeXixQbAAgHSAiQ3YmEzZTFiMC1lNzI4LTRhNzMtOGRjZS03ODQ5NWJiYThlMDTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=60e396d01ccc06ad&srepoch=1756934828&all_sr_blocks=1457339201_417067675_2_1_0&highlighted_blocks=1457339201_417067675_2_1_0&matching_block_id=1457339201_417067675_2_1_0&sr_pri_blocks=1457339201_417067675_2_1_0__2550000&from=searchresults
New Salfie Tayyba Hotel and Guest House,Parli Doāriān,N/A,[],N/A,"PKR 2,160",https://cf.bstatic.com/xdata/images/hotel/square240/706408667.webp?k=0779bb99a691b07e313d8a75e49ec3a29ba9e36ac2198e002c1b3491f3e6a67a&o=,https://www.booking.com/hotel/pk/new-salfie-tayyba-and-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9uZWVsdW0gdmFsbGV5SDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoeXixQbAAgHSAiQ3YmEzZTFiMC1lNzI4LTRhNzMtOGRjZS03ODQ5NWJiYThlMDTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=60e396d01ccc06ad&srepoch=1756934828&all_sr_blocks=1449185601_416300679_2_2_0&highlighted_blocks=1449185601_416300679_2_2_0&matching_block_id=1449185601_416300679_2_2_0&sr_pri_blocks=1449185601_416300679_2_2_0__216000&from=searchresults
The Village Resort Arang Kel,Arangkēl,N/A,[],1.0,"PKR 9,720",https://cf.bstatic.com/xdata/images/hotel/square240/721339113.webp?k=5572b97ea8e8af0d2e961b98b8d960f438c0ad804aee8d23756c727120500f2f&o=,https://www.booking.com/hotel/pk/the-village-resort-arang-kel.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9uZWVsdW0gdmFsbGV5SDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoeXixQbAAgHSAiQ3YmEzZTFiMC1lNzI4LTRhNzMtOGRjZS03ODQ5NWJiYThlMDTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=60e396d01ccc06ad&srepoch=1756934828&all_sr_blocks=1359148001_408229501_2_2_0&highlighted_blocks=1359148001_408229501_2_2_0&matching_block_id=1359148001_408229501_2_2_0&sr_pri_blocks=1359148001_408229501_2_2_0__972000&from=searchresults
Lime wood,Neelam,N/A,[],N/A,"PKR 11,199",https://cf.bstatic.com/xdata/images/hotel/square240/724172215.webp?k=2cb8ea528dfbda89d6e35df50378c00609aa0a5233d5e43e3f1e8780222de84b&o=,https://www.booking.com/hotel/pk/lime-wood.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9uZWVsdW0gdmFsbGV5SDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoeXixQbAAgHSAiQ3YmEzZTFiMC1lNzI4LTRhNzMtOGRjZS03ODQ5NWJiYThlMDTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=60e396d01ccc06ad&srepoch=1756934828&all_sr_blocks=1467202302_418040174_4_2_0&highlighted_blocks=1467202302_418040174_4_2_0&matching_block_id=1467202302_418040174_4_2_0&sr_pri_blocks=1467202302_418040174_4_2_0__1119920&from=searchresults
7 Heavens Guest House & Restaurant Kel Neelum valley,Kel,N/A,[],N/A,"PKR 5,500",https://cf.bstatic.com/xdata/images/hotel/square240/702877234.webp?k=105bebf1f201abad58ce3bcf2314bc47f67a02d5dcf052a339d40c14031baade&o=,https://www.booking.com/hotel/pk/7-heavens-guest-house-amp-restaurant-kel-neelum-valley.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9uZWVsdW0gdmFsbGV5SDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoeXixQbAAgHSAiQ3YmEzZTFiMC1lNzI4LTRhNzMtOGRjZS03ODQ5NWJiYThlMDTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=60e396d01ccc06ad&srepoch=1756934828&all_sr_blocks=1444816401_415897733_2_0_0&highlighted_blocks=1444816401_415897733_2_0_0&matching_block_id=1444816401_415897733_2_0_0&sr_pri_blocks=1444816401_415897733_2_0_0__550000&from=searchresults
Markhor Resort Sharda,Shardi,N/A,[],1.0,"PKR 5,419",https://cf.bstatic.com/xdata/images/hotel/square240/729497714.webp?k=52f02e75cbb27cc51efcfdb22a99a555a9f1aa87f0818c9310042cedf6d53fc3&o=,https://www.booking.com/hotel/pk/markhor-resort-sharda.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9uZWVsdW0gdmFsbGV5SDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoeXixQbAAgHSAiQ3YmEzZTFiMC1lNzI4LTRhNzMtOGRjZS03ODQ5NWJiYThlMDTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=60e396d01ccc06ad&srepoch=1756934828&all_sr_blocks=1208091601_418982577_0_2_0&highlighted_blocks=1208091601_418982577_0_2_0&matching_block_id=1208091601_418982577_0_2_0&sr_pri_blocks=1208091601_418982577_0_2_0__541875&from=searchresults
3Dots Resort,Pātharwāla,N/A,[],N/A,"PKR 12,000",https://cf.bstatic.com/xdata/images/hotel/square240/665183750.webp?k=f97f97a99a4d8098f2a3f5e438506689e5dea417350d3a0cb71d745e9cf471d8&o=,https://www.booking.com/hotel/pk/3dots-resort.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9uZWVsdW0gdmFsbGV5SDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoeXixQbAAgHSAiQ3YmEzZTFiMC1lNzI4LTRhNzMtOGRjZS03ODQ5NWJiYThlMDTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=60e396d01ccc06ad&srepoch=1756934828&all_sr_blocks=1385367901_410564058_2_2_0&highlighted_blocks=1385367901_410564058_2_2_0&matching_block_id=1385367901_410564058_2_2_0&sr_pri_blocks=1385367901_410564058_2_2_0__1200000&from=searchresults
