Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Destination Heritage Peshawar,Peshawar,1.6 km from downtown,[],7.1,"PKR 11,700",https://cf.bstatic.com/xdata/images/hotel/square240/670034179.webp?k=151f391a67f45c89e86ccb1637f61777a3bd8ddbace51f9cdffa3bc814dbbdbf&o=,https://www.booking.com/hotel/pk/destination-heritage-peshawar.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9wZXNoYXdhckgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvjV4sUGwAIB0gIkMWJmYTJlNzAtYTgxZC00MDNhLTk5OWItMDlkM2ViNDdjZjkw2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=5d1592fcd1ae0599&srepoch=1756932872&all_sr_blocks=1364825105_408782121_2_1_0&highlighted_blocks=1364825105_408782121_2_1_0&matching_block_id=1364825105_408782121_2_1_0&sr_pri_blocks=1364825105_408782121_2_1_0__1170000&from=searchresults
Hotel City View Peshawar,Peshawar,5.6 km from downtown,[],9.2,"PKR 8,800",https://cf.bstatic.com/xdata/images/hotel/square240/716940079.webp?k=3e264f01f401f52613f38c49ce7b0dee7d5afcdb73a091828b34a693fa586a36&o=,https://www.booking.com/hotel/pk/city-view-peshawar-peshawar.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9wZXNoYXdhckgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvjV4sUGwAIB0gIkMWJmYTJlNzAtYTgxZC00MDNhLTk5OWItMDlkM2ViNDdjZjkw2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=5d1592fcd1ae0599&srepoch=1756932872&all_sr_blocks=1364856601_408784589_0_2_0&highlighted_blocks=1364856601_408784589_0_2_0&matching_block_id=1364856601_408784589_0_2_0&sr_pri_blocks=1364856601_408784589_0_2_0__880000&from=searchresults
Peshawar Serena Hotel,Peshawar,3.4 km from downtown,[],7.9,"PKR 25,357",https://cf.bstatic.com/xdata/images/hotel/square240/621145623.webp?k=f55aeb92c1f89c9e542359a0636513faa3786c98ddbbc3223584c30640d2a752&o=,https://www.booking.com/hotel/pk/peshawar-serena.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9wZXNoYXdhckgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvjV4sUGwAIB0gIkMWJmYTJlNzAtYTgxZC00MDNhLTk5OWItMDlkM2ViNDdjZjkw2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=5d1592fcd1ae0599&srepoch=1756932872&all_sr_blocks=939861701_366275053_2_41_0&highlighted_blocks=939861701_366275053_2_41_0&matching_block_id=939861701_366275053_2_41_0&sr_pri_blocks=939861701_366275053_2_41_0__9000&from=searchresults
Shelton's Rezidor Peshawar,Peshawar,5.5 km from downtown,[],7.7,"PKR 12,600",https://cf.bstatic.com/xdata/images/hotel/square240/556098136.webp?k=6c50218789391d673452d608a0ff24b5ead2d6dd71f47b894a94b75ad54c630c&o=,https://www.booking.com/hotel/pk/sheltons-ambassador-peshawar.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9wZXNoYXdhckgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvjV4sUGwAIB0gIkMWJmYTJlNzAtYTgxZC00MDNhLTk5OWItMDlkM2ViNDdjZjkw2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5d1592fcd1ae0599&srepoch=1756932872&all_sr_blocks=1204725803_392695897_2_1_0&highlighted_blocks=1204725803_392695897_2_1_0&matching_block_id=1204725803_392695897_2_1_0&sr_pri_blocks=1204725803_392695897_2_1_0__1260000&from=searchresults
Shelton Legacy Peshawar,Peshawar,5.6 km from downtown,[],9.0,"PKR 12,000",https://cf.bstatic.com/xdata/images/hotel/square240/648982327.webp?k=84dc9036273cc0f32621da107e72799c6ec00b08eb550b7858db500a3a993862&o=,https://www.booking.com/hotel/pk/shelton-legacy-peshawar.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9wZXNoYXdhckgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvjV4sUGwAIB0gIkMWJmYTJlNzAtYTgxZC00MDNhLTk5OWItMDlkM2ViNDdjZjkw2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5d1592fcd1ae0599&srepoch=1756932872&all_sr_blocks=1363065306_408598070_2_1_0&highlighted_blocks=1363065306_408598070_2_1_0&matching_block_id=1363065306_408598070_2_1_0&sr_pri_blocks=1363065306_408598070_2_1_0__1200000&from=searchresults
Shelton Rezidor House Peshawar,Peshawar,5.3 km from downtown,[],7.9,"PKR 10,000",https://cf.bstatic.com/xdata/images/hotel/square240/556102559.webp?k=f1a21744150e3f15ccd7af7946d9aae19b65aaf495bfee2284c8f50dae3303cd&o=,https://www.booking.com/hotel/pk/the-garden-residence-peshawar.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9wZXNoYXdhckgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvjV4sUGwAIB0gIkMWJmYTJlNzAtYTgxZC00MDNhLTk5OWItMDlkM2ViNDdjZjkw2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=5d1592fcd1ae0599&srepoch=1756932872&all_sr_blocks=1193999104_391704660_0_1_0&highlighted_blocks=1193999104_391704660_0_1_0&matching_block_id=1193999104_391704660_0_1_0&sr_pri_blocks=1193999104_391704660_0_1_0__1000000&from=searchresults
Entire Home in Peshawar Gulbahar 3,Peshawar,3.5 km from downtown,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '1,000 m²']",6.5,"PKR 8,400",https://cf.bstatic.com/xdata/images/hotel/square240/666221999.webp?k=1402659b9d8c0a8068e907f402b0e3b771dfb85b6948be531d06a3fdc5823006&o=,https://www.booking.com/hotel/pk/entire-home-in-peshawar-gulbahar-3.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9wZXNoYXdhckgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvjV4sUGwAIB0gIkMWJmYTJlNzAtYTgxZC00MDNhLTk5OWItMDlkM2ViNDdjZjkw2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=5d1592fcd1ae0599&srepoch=1756932872&all_sr_blocks=1386984601_410705448_2_0_0&highlighted_blocks=1386984601_410705448_2_0_0&matching_block_id=1386984601_410705448_2_0_0&sr_pri_blocks=1386984601_410705448_2_0_0__840000&from=searchresults
Hotel Tourmaline Peshawar,Peshawar,1.9 km from downtown,[],8.3,"PKR 13,340",https://cf.bstatic.com/xdata/images/hotel/square240/556274326.webp?k=e8c49e6da98ce43832d1a9d4260ea2a56c40a2b9fbca48b0a1f9c133466f7c9d&o=,https://www.booking.com/hotel/pk/tourmaline-peshawar-peshawar1.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9wZXNoYXdhckgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvjV4sUGwAIB0gIkMWJmYTJlNzAtYTgxZC00MDNhLTk5OWItMDlkM2ViNDdjZjkw2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=5d1592fcd1ae0599&srepoch=1756932872&all_sr_blocks=1203450003_395556753_2_1_0&highlighted_blocks=1203450003_395556753_2_1_0&matching_block_id=1203450003_395556753_2_1_0&sr_pri_blocks=1203450003_395556753_2_1_0__1334000&from=searchresults
Entire Home in Peshawar Gulbahar,Peshawar,3.5 km from downtown,"['Entire apartment', '1 bedroom', '1 bathroom', '19 m²']",7.7,"PKR 9,450",https://cf.bstatic.com/xdata/images/hotel/square240/653166625.webp?k=ac9b6544d15e0d4bda605728dde0c74841efc758487be28de69353796b9a92b0&o=,https://www.booking.com/hotel/pk/entire-home-in-peshawar-gulbahar.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9wZXNoYXdhckgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvjV4sUGwAIB0gIkMWJmYTJlNzAtYTgxZC00MDNhLTk5OWItMDlkM2ViNDdjZjkw2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5d1592fcd1ae0599&srepoch=1756932872&all_sr_blocks=1369630301_409183758_2_0_0&highlighted_blocks=1369630301_409183758_2_0_0&matching_block_id=1369630301_409183758_2_0_0&sr_pri_blocks=1369630301_409183758_2_0_0__945000&from=searchresults
Tom's Luxury Hotel,Peshawar,2.4 km from downtown,"['Entire apartment', '2 bedrooms', '1 living room', '3 bathrooms', '1 kitchen']",9.2,"PKR 20,000",https://cf.bstatic.com/xdata/images/hotel/square240/646922883.webp?k=395d8ec15c10541fa1bc7fb003e39448eed31c526ed47f16be7ab6b4c70e854d&o=,https://www.booking.com/hotel/pk/toms-luxury-gulberg.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9wZXNoYXdhckgzWARotQGIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvjV4sUGwAIB0gIkMWJmYTJlNzAtYTgxZC00MDNhLTk5OWItMDlkM2ViNDdjZjkw2AIB4AIB&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=5d1592fcd1ae0599&srepoch=1756932872&all_sr_blocks=1355129901_407832604_0_0_0&highlighted_blocks=1355129901_407832604_0_0_0&matching_block_id=1355129901_407832604_0_0_0&sr_pri_blocks=1355129901_407832604_0_0_0__2000000&from=searchresults
