Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Outdoor Adventures Camp Ratti Gali Lake,Shardi,N/A,[],N/A,N/A,https://cf.bstatic.com/xdata/images/hotel/square240/597265256.webp?k=e9d6035fbf3ca18af3361d10c5de7b1132794863b0f02be33d162dab03afef5b&o=,https://www.booking.com/hotel/pk/outdoor-adventures-camp-ratti-gali-lake.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9yYXR0aSBnYWxpSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoOfixQbAAgHSAiRhZTc4N2I3Ny05MGI4LTRlMjctOWE2Ni00NTUwODMwODk2OTTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=af40975092cb00d7&srepoch=1756935080&soh=1&from=searchresults#no_availability_msg
Wyndham Heritage Hotel & Resort Sharda,Shardi,N/A,[],9.7,"PKR 6,300",https://cf.bstatic.com/xdata/images/hotel/square240/602018285.webp?k=3e08482fdedfef5ddd17c60cab3ee305b7efb3138050811105c746215d39fa93&o=,https://www.booking.com/hotel/pk/wyndham-heritage-amp-resort-sharda.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9yYXR0aSBnYWxpSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoOfixQbAAgHSAiRhZTc4N2I3Ny05MGI4LTRlMjctOWE2Ni00NTUwODMwODk2OTTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=af40975092cb00d7&srepoch=1756935080&all_sr_blocks=1289006401_401845504_2_0_0&highlighted_blocks=1289006401_401845504_2_0_0&matching_block_id=1289006401_401845504_2_0_0&sr_pri_blocks=1289006401_401845504_2_0_0__630000&from=searchresults
Ravi inn hotel,Burāwai,N/A,"['Entire apartment', '3 bedrooms', '12 bathrooms', '1,000 m²']",10,"PKR 5,400",https://cf.bstatic.com/xdata/images/hotel/square240/716289934.webp?k=9b741c43539f92918fd68939d997eb2816a4e60e6e1033c11574f5bfc4054138&o=,https://www.booking.com/hotel/pk/ravi-inn.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9yYXR0aSBnYWxpSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoOfixQbAAgHSAiRhZTc4N2I3Ny05MGI4LTRlMjctOWE2Ni00NTUwODMwODk2OTTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=af40975092cb00d7&srepoch=1756935080&all_sr_blocks=1459955701_417307909_38_0_0&highlighted_blocks=1459955701_417307909_38_0_0&matching_block_id=1459955701_417307909_38_0_0&sr_pri_blocks=1459955701_417307909_38_0_0__540000&from=searchresults
Riverside Challets Sharda,Shardi,N/A,[],10,"PKR 25,500",https://cf.bstatic.com/xdata/images/hotel/square240/726902850.webp?k=832108029bb48b9aba9f8a804717afd4e868a9d80d7fab7027bbc73b7d21ac8d&o=,https://www.booking.com/hotel/pk/roameo-resort.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9yYXR0aSBnYWxpSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoOfixQbAAgHSAiRhZTc4N2I3Ny05MGI4LTRlMjctOWE2Ni00NTUwODMwODk2OTTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=af40975092cb00d7&srepoch=1756935080&all_sr_blocks=1457339201_417067675_2_1_0&highlighted_blocks=1457339201_417067675_2_1_0&matching_block_id=1457339201_417067675_2_1_0&sr_pri_blocks=1457339201_417067675_2_1_0__2550000&from=searchresults
Keran Retreat,Upper Neelun,N/A,[],8.9,"PKR 12,000",https://cf.bstatic.com/xdata/images/hotel/square240/600277201.webp?k=7d949b78bf92254af6421a3e6ba24d0063ef7d9984bd7ec1d76f2b4f07a5cf43&o=,https://www.booking.com/hotel/pk/keran-retreat.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9yYXR0aSBnYWxpSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoOfixQbAAgHSAiRhZTc4N2I3Ny05MGI4LTRlMjctOWE2Ni00NTUwODMwODk2OTTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=af40975092cb00d7&srepoch=1756935080&all_sr_blocks=1286452401_401593095_2_41_0&highlighted_blocks=1286452401_401593095_2_41_0&matching_block_id=1286452401_401593095_2_41_0&sr_pri_blocks=1286452401_401593095_2_41_0__1200000&from=searchresults
New Salfie Tayyba Hotel and Guest House,Parli Doāriān,N/A,[],N/A,"PKR 2,160",https://cf.bstatic.com/xdata/images/hotel/square240/706408667.webp?k=0779bb99a691b07e313d8a75e49ec3a29ba9e36ac2198e002c1b3491f3e6a67a&o=,https://www.booking.com/hotel/pk/new-salfie-tayyba-and-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9yYXR0aSBnYWxpSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoOfixQbAAgHSAiRhZTc4N2I3Ny05MGI4LTRlMjctOWE2Ni00NTUwODMwODk2OTTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=af40975092cb00d7&srepoch=1756935080&all_sr_blocks=1449185601_416300679_2_2_0&highlighted_blocks=1449185601_416300679_2_2_0&matching_block_id=1449185601_416300679_2_2_0&sr_pri_blocks=1449185601_416300679_2_2_0__216000&from=searchresults
The Adventurers Resort,Dhechiān di Bahlk,N/A,[],N/A,"PKR 35,200",https://cf.bstatic.com/xdata/images/hotel/square240/695320873.webp?k=1d05e759b428aefac91d045417ce8ee17b012cbc75068659944cf195aea6fd2f&o=,https://www.booking.com/hotel/pk/the-adventurers-resort.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9yYXR0aSBnYWxpSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoOfixQbAAgHSAiRhZTc4N2I3Ny05MGI4LTRlMjctOWE2Ni00NTUwODMwODk2OTTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=af40975092cb00d7&srepoch=1756935080&all_sr_blocks=1433977201_414939907_3_1_0&highlighted_blocks=1433977201_414939907_3_1_0&matching_block_id=1433977201_414939907_3_1_0&sr_pri_blocks=1433977201_414939907_3_1_0__3520000&from=searchresults
Markhor Resort Sharda,Shardi,N/A,[],1.0,"PKR 5,419",https://cf.bstatic.com/xdata/images/hotel/square240/729497714.webp?k=52f02e75cbb27cc51efcfdb22a99a555a9f1aa87f0818c9310042cedf6d53fc3&o=,https://www.booking.com/hotel/pk/markhor-resort-sharda.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9yYXR0aSBnYWxpSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoOfixQbAAgHSAiRhZTc4N2I3Ny05MGI4LTRlMjctOWE2Ni00NTUwODMwODk2OTTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=af40975092cb00d7&srepoch=1756935080&all_sr_blocks=1208091601_418982577_0_2_0&highlighted_blocks=1208091601_418982577_0_2_0&matching_block_id=1208091601_418982577_0_2_0&sr_pri_blocks=1208091601_418982577_0_2_0__541875&from=searchresults
Habib Green Cottage,Upper Neelun,N/A,[],9.0,"PKR 5,100",https://cf.bstatic.com/xdata/images/hotel/square240/587774761.webp?k=574d742c49b332570c2b28608496ceea8b62ce3b8d812f3a1340141f3c4e46a5&o=,https://www.booking.com/hotel/pk/habib-green-cottage-neelum-valley.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9yYXR0aSBnYWxpSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoOfixQbAAgHSAiRhZTc4N2I3Ny05MGI4LTRlMjctOWE2Ni00NTUwODMwODk2OTTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=af40975092cb00d7&srepoch=1756935080&all_sr_blocks=1261562401_398775124_2_42_0&highlighted_blocks=1261562401_398775124_2_42_0&matching_block_id=1261562401_398775124_2_42_0&sr_pri_blocks=1261562401_398775124_2_42_0__510000&from=searchresults
Neelum Valley Hotel,Shardi,N/A,[],N/A,"PKR 12,499",https://cf.bstatic.com/xdata/images/hotel/square240/253660542.webp?k=179637a380778e599b835ebce87ebb25803053d231894072e3a062a74d27cef2&o=,https://www.booking.com/hotel/pk/neelum-valley-hotels.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9yYXR0aSBnYWxpSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCoOfixQbAAgHSAiRhZTc4N2I3Ny05MGI4LTRlMjctOWE2Ni00NTUwODMwODk2OTTYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=af40975092cb00d7&srepoch=1756935080&all_sr_blocks=643138701_346807069_2_2_0&highlighted_blocks=643138701_346807069_2_2_0&matching_block_id=643138701_346807069_2_2_0&sr_pri_blocks=643138701_346807069_2_2_0__1249900&from=searchresults
