Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
Shardana,Alghero,N/A,[],9.3,N/A,https://cf.bstatic.com/xdata/images/hotel/square240/479322470.webp?k=357f961afe50a5a357d9d03da992055902f036adea8530660b07d1499b5974d2&o=,https://www.booking.com/hotel/it/shardana-alghero.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9zaGFyZGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKB5uLFBsACAdICJGFhN2E2MmNmLTk4YWMtNGJlZi1hZjJkLWQ3Y2VkZWI1YTY4MNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ed219700d654044a&srepoch=1756934941&soh=1&from=searchresults#no_availability_msg
Sa Branda Costa Country Alghero,Santa Maria la Palma,N/A,"['Entire apartment', '2 bedrooms', '1 bathroom', '1 kitchen', '150 m²']",9.0,"PKR 34,503",https://cf.bstatic.com/xdata/images/hotel/square240/89761401.webp?k=0fa7db8bf0767ec965640eba27f5abb06074b05af419f6cd9dbde8572a2c9152&o=,https://www.booking.com/hotel/it/bed-and-breakfast-sa-branda.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9zaGFyZGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKB5uLFBsACAdICJGFhN2E2MmNmLTk4YWMtNGJlZi1hZjJkLWQ3Y2VkZWI1YTY4MNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=ed219700d654044a&srepoch=1756934941&all_sr_blocks=88204219_195940654_0_0_0&highlighted_blocks=88204219_195940654_0_0_0&matching_block_id=88204219_195940654_0_0_0&sr_pri_blocks=88204219_195940654_0_0_0__10500&from=searchresults
Bonsai B&B Alghero,Santa Maria la Palma,N/A,[],9.3,"PKR 22,017",https://cf.bstatic.com/xdata/images/hotel/square240/489190993.webp?k=a60d8560261d463587c0f7ae0cf914a1e181c45a15fb78ee7e238063710e66c0&o=,https://www.booking.com/hotel/it/bonsai-alghero.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9zaGFyZGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKB5uLFBsACAdICJGFhN2E2MmNmLTk4YWMtNGJlZi1hZjJkLWQ3Y2VkZWI1YTY4MNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=ed219700d654044a&srepoch=1756934941&all_sr_blocks=23503001_359885559_2_1_0&highlighted_blocks=23503001_359885559_2_1_0&matching_block_id=23503001_359885559_2_1_0&sr_pri_blocks=23503001_359885559_2_1_0__6700&from=searchresults
Sardinia Guest House - Adults Only,Olmedo,N/A,[],9.7,"PKR 40,116",https://cf.bstatic.com/xdata/images/hotel/square240/516810851.webp?k=39a448b48d2aa19732564b8c0945dc9780709658023cd16c477572b68248823f&o=,https://www.booking.com/hotel/it/b-amp-b-sardinia-olmedo12.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9zaGFyZGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKB5uLFBsACAdICJGFhN2E2MmNmLTk4YWMtNGJlZi1hZjJkLWQ3Y2VkZWI1YTY4MNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=ed219700d654044a&srepoch=1756934941&all_sr_blocks=840736403_350746966_2_1_0&highlighted_blocks=840736403_350746966_2_1_0&matching_block_id=840736403_350746966_2_1_0&sr_pri_blocks=840736403_350746966_2_1_0__12208&from=searchresults
B&B La Casa Bianca di Porto Conte,Porto Conte,N/A,[],9.8,"PKR 40,622",https://cf.bstatic.com/xdata/images/hotel/square240/80615122.webp?k=cb737cf77380786d16b2db41bda81a031aadbfe88bdee68a967c39ffbc3ff93c&o=,https://www.booking.com/hotel/it/b-amp-b-la-casa-bianca-di-porto-conte.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9zaGFyZGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKB5uLFBsACAdICJGFhN2E2MmNmLTk4YWMtNGJlZi1hZjJkLWQ3Y2VkZWI1YTY4MNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=ed219700d654044a&srepoch=1756934941&all_sr_blocks=179442803_195593158_2_1_0&highlighted_blocks=179442803_195593158_2_1_0&matching_block_id=179442803_195593158_2_1_0&sr_pri_blocks=179442803_195593158_2_1_0__12362&from=searchresults
Garden Hotel Alghero,Fertilia,N/A,[],8.1,"PKR 17,449",https://cf.bstatic.com/xdata/images/hotel/square240/544536446.webp?k=215ba78ec40d7ecee80597ba0bfb73bbc0b4472c1b35a0dd9546a5b181f5ec31&o=,https://www.booking.com/hotel/it/garden-algero.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9zaGFyZGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKB5uLFBsACAdICJGFhN2E2MmNmLTk4YWMtNGJlZi1hZjJkLWQ3Y2VkZWI1YTY4MNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=ed219700d654044a&srepoch=1756934941&all_sr_blocks=1166948301_398534846_2_2_0&highlighted_blocks=1166948301_398534846_2_2_0&matching_block_id=1166948301_398534846_2_2_0&sr_pri_blocks=1166948301_398534846_2_2_0__5310&from=searchresults
Noa affittacamere,Alghero,N/A,[],9.6,"PKR 26,453",https://cf.bstatic.com/xdata/images/hotel/square240/695051930.webp?k=ba13579917a3b56d7b90c166bd33e6e5e2cd9fd3a71ffb60cee0b54344c1fb3d&o=,https://www.booking.com/hotel/it/noa-affittacamere.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9zaGFyZGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKB5uLFBsACAdICJGFhN2E2MmNmLTk4YWMtNGJlZi1hZjJkLWQ3Y2VkZWI1YTY4MNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=ed219700d654044a&srepoch=1756934941&all_sr_blocks=1415471201_413298937_2_0_0&highlighted_blocks=1415471201_413298937_2_0_0&matching_block_id=1415471201_413298937_2_0_0&sr_pri_blocks=1415471201_413298937_2_0_0__8050&from=searchresults
Aria di campagna,Olmedo,N/A,[],8.9,"PKR 15,970",https://cf.bstatic.com/xdata/images/hotel/square240/593371987.webp?k=2e52b66850ab8cb44a1fbdb49ea489529f6f04a81ced172688827d03afa009bb&o=,https://www.booking.com/hotel/it/aria-di-campagna-olmedo.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9zaGFyZGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKB5uLFBsACAdICJGFhN2E2MmNmLTk4YWMtNGJlZi1hZjJkLWQ3Y2VkZWI1YTY4MNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=ed219700d654044a&srepoch=1756934941&all_sr_blocks=1272771801_400067918_2_0_0&highlighted_blocks=1272771801_400067918_2_0_0&matching_block_id=1272771801_400067918_2_0_0&sr_pri_blocks=1272771801_400067918_2_0_0__4860&from=searchresults
Casa Bea,Palmadula,N/A,"['Entire villa', '3 bedrooms', '1 living room', '2 bathrooms', '1 kitchen', '140 m²']",9.2,"PKR 202,289",https://cf.bstatic.com/xdata/images/hotel/square240/474216580.webp?k=5ed3463d20edb2a95755785e89990c6cde4398fab65496d8dca14aaf41442192&o=,https://www.booking.com/hotel/it/casa-bea-palmadula.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9zaGFyZGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKB5uLFBsACAdICJGFhN2E2MmNmLTk4YWMtNGJlZi1hZjJkLWQ3Y2VkZWI1YTY4MNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=ed219700d654044a&srepoch=1756934941&all_sr_blocks=1036920501_415498735_7_0_0&highlighted_blocks=1036920501_415498735_7_0_0&matching_block_id=1036920501_415498735_7_0_0&sr_pri_blocks=1036920501_415498735_7_0_0__61560&from=searchresults
Alguer holiday rooms,Alghero,N/A,[],9.9,"PKR 41,404",https://cf.bstatic.com/xdata/images/hotel/square240/701484465.webp?k=21a1ea17ace7b2192d4781ef225f66d5af7873a4930d0ea0e0a38712f91f451b&o=,https://www.booking.com/hotel/it/alguerholidayrooms.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9zaGFyZGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKB5uLFBsACAdICJGFhN2E2MmNmLTk4YWMtNGJlZi1hZjJkLWQ3Y2VkZWI1YTY4MNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=ed219700d654044a&srepoch=1756934941&all_sr_blocks=1442914201_415732467_2_0_0&highlighted_blocks=1442914201_415732467_2_0_0&matching_block_id=1442914201_415732467_2_0_0&sr_pri_blocks=1442914201_415732467_2_0_0__12600&from=searchresults
