Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
OASIS hotle,Shogran,0.5 km from downtown,[],N/A,"PKR 15,000",https://cf.bstatic.com/xdata/images/hotel/square240/725090009.webp?k=f6748d51dd4d67f2a81f7dafd285f7419e482bcb4f63b83dc07e17561e7f9969&o=,https://www.booking.com/hotel/pk/oasis-hotle.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zaG9ncmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCx9vixQbAAgHSAiQxNDIwYWY0Zi02M2QzLTRjZWItYjQwMi02NWY1ZjRkYTAzZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=214194633b6f0115&srepoch=1756933598&all_sr_blocks=1468765701_418190666_2_0_0&highlighted_blocks=1468765701_418190666_2_0_0&matching_block_id=1468765701_418190666_2_0_0&sr_pri_blocks=1468765701_418190666_2_0_0__1500000&from=searchresults
Green Park Hotel Shogran,Shogran,0.5 km from downtown,[],10,"PKR 8,499",https://cf.bstatic.com/xdata/images/hotel/square240/255527382.webp?k=57da29ca15167090e509c32dec0f814cbf14e19b4139c426d3d3b5c491c75a18&o=,https://www.booking.com/hotel/pk/green-park.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zaG9ncmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCx9vixQbAAgHSAiQxNDIwYWY0Zi02M2QzLTRjZWItYjQwMi02NWY1ZjRkYTAzZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=214194633b6f0115&srepoch=1756933598&all_sr_blocks=646548901_346805756_2_2_0&highlighted_blocks=646548901_346805756_2_2_0&matching_block_id=646548901_346805756_2_2_0&sr_pri_blocks=646548901_346805756_2_2_0__849900&from=searchresults
makra view hotel and restaurant,Mānsehra,5 km from Shogran,[],N/A,"PKR 20,000",https://cf.bstatic.com/xdata/images/hotel/square240/727616548.webp?k=52fdb3e782e364933685693ab8c69d50905f1ac2cf7cfdbf1b9cf3ce05cd19ca&o=,https://www.booking.com/hotel/pk/makra-view-and-restaurant.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zaG9ncmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCx9vixQbAAgHSAiQxNDIwYWY0Zi02M2QzLTRjZWItYjQwMi02NWY1ZjRkYTAzZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=214194633b6f0115&srepoch=1756933598&all_sr_blocks=1471735201_418514069_1_0_0%2C1471735201_418514069_1_0_0&highlighted_blocks=1471735201_418514069_1_0_0%2C1471735201_418514069_1_0_0&matching_block_id=1471735201_418514069_1_0_0&sr_pri_blocks=1471735201_418514069_1_0_0__1000000%2C1471735201_418514069_1_0_0__1000000&from=searchresults
Highland Club Balakot,Bālākot,14.2 km from Shogran,[],9.8,"PKR 8,505",https://cf.bstatic.com/xdata/images/hotel/square240/711140402.webp?k=a52e3e232bb1d0ae7c8589c4c38b59eb5bd846d7f7e4783300dbc535cdb739ae&o=,https://www.booking.com/hotel/pk/khan-resort.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zaG9ncmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCx9vixQbAAgHSAiQxNDIwYWY0Zi02M2QzLTRjZWItYjQwMi02NWY1ZjRkYTAzZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=214194633b6f0115&srepoch=1756933598&all_sr_blocks=1423451310_413978402_3_1_0&highlighted_blocks=1423451310_413978402_3_1_0&matching_block_id=1423451310_413978402_3_1_0&sr_pri_blocks=1423451310_413978402_3_1_0__850500&from=searchresults
Azure Dreams,Bāla Pīr Ziārat,14.4 km from Shogran,"['Entire villa', '2 bedrooms', '4 bathrooms', '85 m²']",N/A,"PKR 6,265",https://cf.bstatic.com/xdata/images/hotel/square240/720567357.webp?k=4d3e485e01d71f5c44c7806ef22c63ea6d3a1284c22caaee88a671984e4e53aa&o=,https://www.booking.com/hotel/pk/azure-dreams.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zaG9ncmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCx9vixQbAAgHSAiQxNDIwYWY0Zi02M2QzLTRjZWItYjQwMi02NWY1ZjRkYTAzZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=214194633b6f0115&srepoch=1756933598&all_sr_blocks=1463839901_417690442_8_0_0&highlighted_blocks=1463839901_417690442_8_0_0&matching_block_id=1463839901_417690442_8_0_0&sr_pri_blocks=1463839901_417690442_8_0_0__626500&from=searchresults
Walnut Riverside Resort,Kāgān,14.8 km from Shogran,[],9.3,"PKR 13,500",https://cf.bstatic.com/xdata/images/hotel/square240/666308192.webp?k=ef4745653e3fc8b5ef37a7d9c289448c87d9b5370d802c56e1e63fa44c75bbe3&o=,https://www.booking.com/hotel/pk/walnut-riverside-resort.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zaG9ncmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCx9vixQbAAgHSAiQxNDIwYWY0Zi02M2QzLTRjZWItYjQwMi02NWY1ZjRkYTAzZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=214194633b6f0115&srepoch=1756933598&all_sr_blocks=1210558402_394491411_3_2_0&highlighted_blocks=1210558402_394491411_3_2_0&matching_block_id=1210558402_394491411_3_2_0&sr_pri_blocks=1210558402_394491411_3_2_0__1350000&from=searchresults
Sukoon Hideout Kaghan Valley,Lahar Bānda,13.5 km from Shogran,[],N/A,"PKR 7,200",https://cf.bstatic.com/xdata/images/hotel/square240/704904756.webp?k=aa5a4c970c0604063c1256a9a084679d8daaf8ac48376ebc3207fdb3ff8261cf&o=,https://www.booking.com/hotel/pk/sukoon-hideout-kaghan-valley.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zaG9ncmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCx9vixQbAAgHSAiQxNDIwYWY0Zi02M2QzLTRjZWItYjQwMi02NWY1ZjRkYTAzZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=214194633b6f0115&srepoch=1756933598&all_sr_blocks=1447545902_416140901_2_1_0_1131598&highlighted_blocks=1447545902_416140901_2_1_0_1131598&matching_block_id=1447545902_416140901_2_1_0_1131598&sr_pri_blocks=1447545902_416140901_2_1_0_1131598_720000&from=searchresults
Salsa Resort,Kamalban,11.8 km from Shogran,[],N/A,"PKR 7,500",https://cf.bstatic.com/xdata/images/hotel/square240/555329852.webp?k=b83b34b0784e1d182e81b08bfa6bb595a19f758359e9336225845d8eafe0b1df&o=,https://www.booking.com/hotel/pk/salsa-resort.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zaG9ncmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCx9vixQbAAgHSAiQxNDIwYWY0Zi02M2QzLTRjZWItYjQwMi02NWY1ZjRkYTAzZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=214194633b6f0115&srepoch=1756933598&all_sr_blocks=1203823801_392618032_3_2_0&highlighted_blocks=1203823801_392618032_3_2_0&matching_block_id=1203823801_392618032_3_2_0&sr_pri_blocks=1203823801_392618032_3_2_0__750000&from=searchresults
"Rock & Green Hotel, Mahandri",Mahāndri,12.5 km from Shogran,[],N/A,"PKR 12,999",https://cf.bstatic.com/xdata/images/hotel/square240/693677529.webp?k=0c55aaf570af69f51b06334e60e6c4fb682e8eca43f67e179c23b8100a5211c6&o=,https://www.booking.com/hotel/pk/rock-amp-green-mahandri.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zaG9ncmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCx9vixQbAAgHSAiQxNDIwYWY0Zi02M2QzLTRjZWItYjQwMi02NWY1ZjRkYTAzZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=214194633b6f0115&srepoch=1756933598&all_sr_blocks=1431484701_415862741_3_2_0&highlighted_blocks=1431484701_415862741_3_2_0&matching_block_id=1431484701_415862741_3_2_0&sr_pri_blocks=1431484701_415862741_3_2_0__1299900&from=searchresults
"PC Green Hotel, Mahandri, Kaghan",Mingora,12.5 km from Shogran,[],7.4,"PKR 9,999",https://cf.bstatic.com/xdata/images/hotel/square240/519494474.webp?k=0a6e45382bb5b82b5b53afc6eeb9617cabbd19b68410ff176fb262361f14cb54&o=,https://www.booking.com/hotel/pk/sharjah-family-swat.html?aid=304142&label=gen173nr-10CAQoggJCDnNlYXJjaF9zaG9ncmFuSDNYBGi1AYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCx9vixQbAAgHSAiQxNDIwYWY0Zi02M2QzLTRjZWItYjQwMi02NWY1ZjRkYTAzZjXYAgHgAgE&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=214194633b6f0115&srepoch=1756933598&all_sr_blocks=1065285009_415862774_2_2_0&highlighted_blocks=1065285009_415862774_2_2_0&matching_block_id=1065285009_415862774_2_2_0&sr_pri_blocks=1065285009_415862774_2_2_0__999900&from=searchresults
