Name,Address,Distance,Description,Rating,Price,Image,Hotel_URL
One Bed Executive Apartment,Islamabad,7 km from Taxila Museum,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '1 kitchen', '88 m²']",7.9,"PKR 6,800",https://cf.bstatic.com/xdata/images/hotel/square240/513979815.webp?k=a018eaf4daa0133cd1956acaaf6808d828763f4e11b7a6d0136299d8df3f8ec2&o=,https://www.booking.com/hotel/pk/suite-apartments.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF90YXhpbGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALq6OLFBsACAdICJDBkNmNlYjAwLTUwNTUtNGQ5MC04NzhlLTIxOWVjMDA4ZmYyMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4deb97b54d10018c&srepoch=1756935299&all_sr_blocks=1051609201_417556613_0_0_0&highlighted_blocks=1051609201_417556613_0_0_0&matching_block_id=1051609201_417556613_0_0_0&sr_pri_blocks=1051609201_417556613_0_0_0__680000&from=searchresults
Riwayat Guest House,Islamabad,7.6 km from Taxila Museum,[],8.2,"PKR 5,000",https://cf.bstatic.com/xdata/images/hotel/square240/598253244.webp?k=59e2a1a222b4ff516a8b096406042fc0773cf2ffd972e263b97055b9880ab818&o=,https://www.booking.com/hotel/pk/riwayat-guest-house.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF90YXhpbGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALq6OLFBsACAdICJDBkNmNlYjAwLTUwNTUtNGQ5MC04NzhlLTIxOWVjMDA4ZmYyMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=4deb97b54d10018c&srepoch=1756935299&all_sr_blocks=1169402908_393193830_3_42_0&highlighted_blocks=1169402908_393193830_3_42_0&matching_block_id=1169402908_393193830_3_42_0&sr_pri_blocks=1169402908_393193830_3_42_0__500000&from=searchresults
Cozy 1-Bedroom Apartment in Islamabad,Islamabad,6.8 km from Taxila Museum,"['Entire apartment', '1 bedroom', '1 bathroom', '1 kitchen', '46 m²']",2.0,"PKR 3,840",https://cf.bstatic.com/xdata/images/hotel/square240/685750412.webp?k=538a9da1de76a344dea5c7dfd7a21a731629e9343180c97c00d715db58b14994&o=,https://www.booking.com/hotel/pk/cozy-1-bedroom-apartment-in-islamabad.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF90YXhpbGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALq6OLFBsACAdICJDBkNmNlYjAwLTUwNTUtNGQ5MC04NzhlLTIxOWVjMDA4ZmYyMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4deb97b54d10018c&srepoch=1756935299&all_sr_blocks=1329056601_405466878_3_0_0&highlighted_blocks=1329056601_405466878_3_0_0&matching_block_id=1329056601_405466878_3_0_0&sr_pri_blocks=1329056601_405466878_3_0_0__384000&from=searchresults
Two Bed Luxury Apartment,Islamabad,7 km from Taxila Museum,"['Entire apartment', '2 bedrooms', '1 living room', '2 bathrooms', '1 kitchen', '144 m²']",9.4,"PKR 11,900",https://cf.bstatic.com/xdata/images/hotel/square240/719063289.webp?k=d13d79e664df8c613e81344d20e87652aaabc9040b79ed2e0b6f078a05ae9962&o=,https://www.booking.com/hotel/pk/multi-gardens-capital-square.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF90YXhpbGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALq6OLFBsACAdICJDBkNmNlYjAwLTUwNTUtNGQ5MC04NzhlLTIxOWVjMDA4ZmYyMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4deb97b54d10018c&srepoch=1756935299&all_sr_blocks=1069319401_417557067_0_0_0_84831&highlighted_blocks=1069319401_417557067_0_0_0_84831&matching_block_id=1069319401_417557067_0_0_0_84831&sr_pri_blocks=1069319401_417557067_0_0_0_84831_1190000&from=searchresults
OWN IT - 2 bedroom apartment ORANGE,Islamabad,9.5 km from Taxila Museum,"['Entire apartment', '2 bedrooms', '1 living room', '2 bathrooms', '1 kitchen', '84 m²']",6.0,"PKR 3,240",https://cf.bstatic.com/xdata/images/hotel/square240/656931993.webp?k=ac912a3b8cccfd748d159bf6daee68256fbfbcca29365dc9f977d6f221d72d17&o=,https://www.booking.com/hotel/pk/own-it-apartment-ii.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF90YXhpbGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALq6OLFBsACAdICJDBkNmNlYjAwLTUwNTUtNGQ5MC04NzhlLTIxOWVjMDA4ZmYyMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=4deb97b54d10018c&srepoch=1756935299&all_sr_blocks=1103058301_383072942_4_0_0&highlighted_blocks=1103058301_383072942_4_0_0&matching_block_id=1103058301_383072942_4_0_0&sr_pri_blocks=1103058301_383072942_4_0_0__324000&from=searchresults
Own It Apartment Brown,Islamabad,9.5 km from Taxila Museum,"['Entire apartment', '2 bedrooms', '1 living room', '2 bathrooms', '74 m²']",5.9,"PKR 4,284",https://cf.bstatic.com/xdata/images/hotel/square240/559284527.webp?k=36174ce798098c78a67eabf829511dcb884fb0514c12c46ce234e7310389c330&o=,https://www.booking.com/hotel/pk/own-it-apartments-islamabad.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF90YXhpbGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALq6OLFBsACAdICJDBkNmNlYjAwLTUwNTUtNGQ5MC04NzhlLTIxOWVjMDA4ZmYyMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=4deb97b54d10018c&srepoch=1756935299&all_sr_blocks=1186484201_409678734_2_0_0&highlighted_blocks=1186484201_409678734_2_0_0&matching_block_id=1186484201_409678734_2_0_0&sr_pri_blocks=1186484201_409678734_2_0_0__428400&from=searchresults
One Bed Private Apartment,Islamabad,6.2 km from Taxila Museum,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '520 m²']",N/A,"PKR 5,000",https://cf.bstatic.com/xdata/images/hotel/square240/600604770.webp?k=e752ad45486924b5707a56983f80c19dfb2890846c446e989e3641ef54d5f1ff&o=,https://www.booking.com/hotel/pk/one-bed-private-apartment.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF90YXhpbGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALq6OLFBsACAdICJDBkNmNlYjAwLTUwNTUtNGQ5MC04NzhlLTIxOWVjMDA4ZmYyMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4deb97b54d10018c&srepoch=1756935299&all_sr_blocks=1287080801_401746763_3_0_0&highlighted_blocks=1287080801_401746763_3_0_0&matching_block_id=1287080801_401746763_3_0_0&sr_pri_blocks=1287080801_401746763_3_0_0__500000&from=searchresults
brand new flat fully furnished,Islamabad,9.6 km from Taxila Museum,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '1 kitchen', '111 m²']",10,"PKR 3,825",https://cf.bstatic.com/xdata/images/hotel/square240/654552278.webp?k=ed978f7c9146a0298f0c849089612687110b67ab024a912c4ae6fb7e8f083588&o=,https://www.booking.com/hotel/pk/brand-new-flat-fully-furnished.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF90YXhpbGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALq6OLFBsACAdICJDBkNmNlYjAwLTUwNTUtNGQ5MC04NzhlLTIxOWVjMDA4ZmYyMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=4deb97b54d10018c&srepoch=1756935299&all_sr_blocks=1371616301_409360341_2_0_0&highlighted_blocks=1371616301_409360341_2_0_0&matching_block_id=1371616301_409360341_2_0_0&sr_pri_blocks=1371616301_409360341_2_0_0__382500&from=searchresults
"Elite 2BHK, Travellers Game",Islamabad,6.6 km from Taxila Museum,"['Entire apartment', '1 bedroom', '2 bathrooms', '102 m²']",N/A,"PKR 8,400",https://cf.bstatic.com/xdata/images/hotel/square240/740438852.webp?k=830f8e285288f56b38f97bf625d8645fc560b439b8dfc7c4f8014174e82e4d09&o=,https://www.booking.com/hotel/pk/elite-2bhk-travellers-game.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF90YXhpbGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALq6OLFBsACAdICJDBkNmNlYjAwLTUwNTUtNGQ5MC04NzhlLTIxOWVjMDA4ZmYyMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=4deb97b54d10018c&srepoch=1756935299&all_sr_blocks=1486576101_420147975_4_0_0&highlighted_blocks=1486576101_420147975_4_0_0&matching_block_id=1486576101_420147975_4_0_0&sr_pri_blocks=1486576101_420147975_4_0_0__840000&from=searchresults
Studio in Islamabad,Islamabad,6.3 km from Taxila Museum,"['Entire apartment', '1 bedroom', '1 living room', '1 bathroom', '1 kitchen', '450 m²']",5.7,"PKR 4,000",https://cf.bstatic.com/xdata/images/hotel/square240/630868827.webp?k=2a6c5be51e93355afb9f48774d265f605a34232cdf6da6a9a840b08b38375d27&o=,https://www.booking.com/hotel/pk/apex-suites-1bhk-in-e11-islamabad.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF90YXhpbGFIM1gEaLUBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALq6OLFBsACAdICJDBkNmNlYjAwLTUwNTUtNGQ5MC04NzhlLTIxOWVjMDA4ZmYyMNgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4deb97b54d10018c&srepoch=1756935299&all_sr_blocks=1333477001_405851392_2_0_0&highlighted_blocks=1333477001_405851392_2_0_0&matching_block_id=1333477001_405851392_2_0_0&sr_pri_blocks=1333477001_405851392_2_0_0__400000&from=searchresults
